id,chemical_name,casrn,dtxsid,chemical_class,market_or_product_use,exposure_potential,known_hazard_flags,toxicity_data_gaps,priority_score,testing_rationale,source_title,confidence,review_status,reviewer_notes
chem-0011,PFHxS,not extracted,not extracted,single chemical,"Maternal PFAS concentrations (PFOS, PFOA, PFNA, PFHXS and PFDA) were quantified in serum during the second trimester using high-performance liquid chromatography and tandem mass spectrometry.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",In Utero Per- and Polyfluoroalkyl Substances (PFAS) Exposure and Changes in Infant T Helper Cell Development among UPSIDE-ECHO Cohort Participants.,high,pending,
chem-0012,PFOA,not extracted,not extracted,single chemical,"Maternal PFAS concentrations (PFOS, PFOA, PFNA, PFHXS and PFDA) were quantified in serum during the second trimester using high-performance liquid chromatography and tandem mass spectrometry.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",In Utero Per- and Polyfluoroalkyl Substances (PFAS) Exposure and Changes in Infant T Helper Cell Development among UPSIDE-ECHO Cohort Participants.,high,pending,
chem-0013,PFOS,not extracted,not extracted,single chemical,"Maternal PFAS concentrations (PFOS, PFOA, PFNA, PFHXS and PFDA) were quantified in serum during the second trimester using high-performance liquid chromatography and tandem mass spectrometry.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",In Utero Per- and Polyfluoroalkyl Substances (PFAS) Exposure and Changes in Infant T Helper Cell Development among UPSIDE-ECHO Cohort Participants.,high,pending,
chem-0014,PFOA,not extracted,not extracted,single chemical,"Perfluorooctanoic acid (PFOA), perfluorooctane sulfonic acid (PFOS), perfluorohexanesulfonic acid (PFHxS), and perfluorononanoic acid (PFNA) were detected in >50% of samples and modeled continuously, while perfluorodecanoic acid (PFDeA) and perfluoroundecanoic acid (PFUA) were detected in 25-50% of samples and modeled categorically (above/below detection limit).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,high,pending,
chem-0015,PFHxS,not extracted,not extracted,single chemical,"Perfluorooctanoic acid (PFOA), perfluorooctane sulfonic acid (PFOS), perfluorohexanesulfonic acid (PFHxS), and perfluorononanoic acid (PFNA) were detected in >50% of samples and modeled continuously, while perfluorodecanoic acid (PFDeA) and perfluoroundecanoic acid (PFUA) were detected in 25-50% of samples and modeled categorically (above/below detection limit).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,high,pending,
chem-0016,PFOS,not extracted,not extracted,single chemical,"Perfluorooctanoic acid (PFOA), perfluorooctane sulfonic acid (PFOS), perfluorohexanesulfonic acid (PFHxS), and perfluorononanoic acid (PFNA) were detected in >50% of samples and modeled continuously, while perfluorodecanoic acid (PFDeA) and perfluoroundecanoic acid (PFUA) were detected in 25-50% of samples and modeled categorically (above/below detection limit).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,high,pending,
chem-0017,PFOA,not extracted,not extracted,single chemical,"Although epidemiological and experimental studies have linked prenatal exposure to several measured PFAS, primarily legacy perfluoroalkyl acids such as perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), Perfluorohexane Sulfonic Acid (PFHxS), and Perfluorononanoic Acid (PFNA), to diverse offspring outcomes, the strength of evidence differs substantially across compounds and health domains.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,85,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,high,pending,
chem-0018,PFHxS,not extracted,not extracted,single chemical,"Although epidemiological and experimental studies have linked prenatal exposure to several measured PFAS, primarily legacy perfluoroalkyl acids such as perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), Perfluorohexane Sulfonic Acid (PFHxS), and Perfluorononanoic Acid (PFNA), to diverse offspring outcomes, the strength of evidence differs substantially across compounds and health domains.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,85,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,high,pending,
chem-0019,PFOS,not extracted,not extracted,single chemical,"Although epidemiological and experimental studies have linked prenatal exposure to several measured PFAS, primarily legacy perfluoroalkyl acids such as perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), Perfluorohexane Sulfonic Acid (PFHxS), and Perfluorononanoic Acid (PFNA), to diverse offspring outcomes, the strength of evidence differs substantially across compounds and health domains.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,85,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,high,pending,
chem-0020,PFAS,not extracted,not extracted,chemical class,"BACKGROUND: Perfluoroalkyl/polyfluoroalkyl substances (PFAS) are emerging clinical and public health concerns, but their role in cardiovascular disease risk remains unclear.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.","Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation.",medium,pending,
chem-0021,PFOA,not extracted,not extracted,single chemical,TITLE: Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency Per- and polyfluoroalkyl substances (PFAS) comprise a group of synthetic chemicals that are ubiquitous global contaminants.,high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,high,pending,
chem-0022,GenX,not extracted,not extracted,replacement PFAS,TITLE: Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency Per- and polyfluoroalkyl substances (PFAS) comprise a group of synthetic chemicals that are ubiquitous global contaminants.,high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,high,pending,
chem-0023,cadmium,not extracted,not extracted,metal,"Chloride (Cl), potassium (K), chromium (Cr), titanium (Ti), and cadmium (Cd) showed the most prominent associations.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,55,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.","Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China.",high,pending,
chem-0024,GenX,not extracted,not extracted,replacement PFAS,"TITLE: Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics Congenital heart disease is a leading cause of infant death, arising from genetic and environmental factors.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,95,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics.,high,pending,
chem-0025,PFAS,not extracted,not extracted,chemical class,TITLE: Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review Per- and polyfluoroalkyl substances (PFAS) are persistent environmental contaminants increasingly associated with cardiovascular disease.,medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.,medium,pending,
chem-0026,F-53B / 6:2 Cl-PFESA,not extracted,not extracted,replacement PFAS,"CONCLUSIONS: Prenatal exposure to both legacy PFASs (PFOS, PFDA, PFNA, PFDoDA, PFUnDA, and PFHpS) and novel PFAS (6:2 Cl-PFESA) was associated with lower FT levels, while PFMOAA was positively associated with TSH levels.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,95,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,high,pending,
chem-0027,PFOS,not extracted,not extracted,single chemical,"RESULTS: PFOS, PFDA, PFNA, PFUnDA, and PFHpS were negatively associated with FT and positively associated with the FT/FT ratio (all P < 0.05).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,95,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,high,pending,
chem-0028,mercury,not extracted,not extracted,metal,"All births will be classified according to gestational exposure to air pollutants (particulate matter, nitrogen dioxide, sulfur dioxide, ozone) and water pollutants (nitrate-nitrogen, phosphorus, manganese, nickel, zinc, cadmium, mercury, lead, aluminium, iron and copper).",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,45,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,high,pending,
chem-0029,cadmium,not extracted,not extracted,metal,"All births will be classified according to gestational exposure to air pollutants (particulate matter, nitrogen dioxide, sulfur dioxide, ozone) and water pollutants (nitrate-nitrogen, phosphorus, manganese, nickel, zinc, cadmium, mercury, lead, aluminium, iron and copper).",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,45,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,high,pending,
chem-0030,PFOS,not extracted,not extracted,single chemical,"Perfluorooctane sulfonate (PFOS) was the predominant PFAS, with a median concentration of 3.90 ng/mL, accounting for 45.9% of the total PFAS burden.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.","Associations between prenatal per- and polyfluoroalkyl substance exposure and maternal fatty acid homeostasis: Nonmonotonic, compartment-specific patterns in plasma and red blood cells.",high,pending,
chem-0031,phthalates,not extracted,not extracted,chemical class,"TITLE: Maternal exposure to biosolids reshapes chemical burden and steroidogenic pathways to promote adipogenic differentiation in a sheep model Biosolids, a by-product of wastewater treatment, are widely used as agricultural fertilizers and contain anthropogenically-derived chemical mixtures, often including obesogens such as perfluoroalkyl substances (PFAS), bisphenols, and phthalates.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,65,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Maternal exposure to biosolids reshapes chemical burden and steroidogenic pathways to promote adipogenic differentiation in a sheep model.,high,pending,
chem-0032,PFAS,not extracted,not extracted,chemical class,"TITLE: Maternal exposure to biosolids reshapes chemical burden and steroidogenic pathways to promote adipogenic differentiation in a sheep model Biosolids, a by-product of wastewater treatment, are widely used as agricultural fertilizers and contain anthropogenically-derived chemical mixtures, often including obesogens such as perfluoroalkyl substances (PFAS), bisphenols, and phthalates.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,65,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Maternal exposure to biosolids reshapes chemical burden and steroidogenic pathways to promote adipogenic differentiation in a sheep model.,medium,pending,
chem-0033,PFHxS,not extracted,not extracted,single chemical,"PFHxS and PFNA were linked to the LAZ-""Low-start rapid-rise"" group (OR: 1.48, 95% CI: 1.07, 2.05; OR: 1.24, 95% CI: 1.02, 1.51, respectively), while PFTrDA was associated with the LAZ-""High-start rapid-rise"" group (OR: 1.23, 95% CI: 1.01, 1.51).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Associations of maternal PFAS exposure with offspring growth trajectories from birth to age 2 years.,high,pending,
chem-0034,PFOS,not extracted,not extracted,single chemical,"Morphological observations and MTT assays revealed that perfluorononanoic acid, perfluorodecanoic acid (PFDA), and perfluorooctane sulfonate (PFOS) markedly reduced cell viability, with estimated concentrations producing a 50% reduction in viability of 60.9, 34.7, and 87.3 µM, respectively, whereas the other tested PFAS did not reduce viability by 50% at concentrations up to 100 µM in bovine aortic endothelial cells.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Comparative Analysis of Structurally Diverse PFAS-Induced Injury in Vascular Endothelial Cells and Characterization of Necroptosis-Related Cell Death Signaling.,high,pending,
chem-0035,PFOS,not extracted,not extracted,single chemical,"On postnatal day (PND) 21, PFAS (especially PFOS) were detected in F ovaries and testes with histopathological ovarian damage.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Sorbent Intervention to Reduce Per- and Polyfluoroalkyl Substances (PFAS) in Maternal Reproductive Tissues and Transgenerational Translocation in Sprague-Dawley Rats.,high,pending,
chem-0036,PFBS,not extracted,not extracted,single chemical,"PFAS time-dependently accumulated in maternal milk and transferred approximately 1% to F serum and 3.7-6.0% to F livers, except for PFBS.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Sorbent Intervention to Reduce Per- and Polyfluoroalkyl Substances (PFAS) in Maternal Reproductive Tissues and Transgenerational Translocation in Sprague-Dawley Rats.,high,pending,
chem-0037,PFBS,not extracted,not extracted,single chemical,Perfluorobutane sulfonate (PFBS) was positively associated with PNH risk according to single-exposure analyses.,high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal exposure to per- and polyfluoroalkyl substances and postpartum new-onset hypertension: Mediating role of systemic inflammation indicators.,high,pending,
chem-0038,PFOA,not extracted,not extracted,single chemical,"Future toxicological research, including routine toxicological testing, should use contemporary measures of mammary gland development and function to more fully evaluate the impacts on mammary gland function after exposure to a wider variety of PFAS beyond perfluorooctanoic acid (PFOA).",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Lactation Interrupted: PFAS Impact on Capacity to Breastfeed Ignored.,high,pending,
chem-0039,PFOA,not extracted,not extracted,single chemical,"TITLE: Integrative Proteomic and In Silico Analysis of Perfluorooctanoic Acid Exposures in Primary Human Placental Cytotrophoblasts Perfluorooctanoic acid (PFOA), a major persistent per- and polyfluoroalkyl substance (PFAS), remains ubiquitous in humans, including pregnant women, despite regulatory actions to limit its production and use.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Integrative Proteomic and In Silico Analysis of Perfluorooctanoic Acid Exposures in Primary Human Placental Cytotrophoblasts.,high,pending,
chem-0040,PFOA,not extracted,not extracted,single chemical,"ME-PFOSA-AcOH, PFNA, and PFOA showed consistent associations with higher odds of heart attack, congestive heart failure, and coronary heart disease.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,100,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Environmental Exposure to Emerging Per- and Polyfluoroalkyl Substances and Cardiovascular Diseases: A Mixture Analysis.,high,pending,
chem-0041,PFAS,not extracted,not extracted,chemical class,TITLE: Dynamic exposure to per- and polyfluoroalkyl substances and early alterations in cardiovascular hemodynamics: A 10-year longitudinal study in adolescents and young adults Per- and polyfluoroalkyl substances (PFAS) are persistent environmental chemicals and have been implicated in cardiovascular risk.,high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,75,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Dynamic exposure to per- and polyfluoroalkyl substances and early alterations in cardiovascular hemodynamics: A 10-year longitudinal study in adolescents and young adults.,medium,pending,
chem-0042,PFHxS,not extracted,not extracted,single chemical,"Elevated perfluorohexane sulfonate (PFHxS) was related to reduced FL-SDS and EFW-SDS (β range: -5.84% to -5.64%) at 32 weeks, and lower FL-SDS longitudinally (β = -3.56%, 95% CI: -5.56%, -1.57%), as well as higher odds of FL‑SDS ""lower growth"" trajectory (OR = 1.27, 95% CI: 1.06, 1.51).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Fetal growth in relation to prenatal per- and polyfluoroalkyl substances exposure: A prospective birth cohort study.,high,pending,
chem-0043,F-53B / 6:2 Cl-PFESA,not extracted,not extracted,replacement PFAS,"CONCLUSION: Our findings indicated that prenatal exposure to PFPeS, PFHxS, and 6:2 Cl-PFESA may retard fetal growth",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Fetal growth in relation to prenatal per- and polyfluoroalkyl substances exposure: A prospective birth cohort study.,high,pending,
chem-0044,PFHxS,not extracted,not extracted,single chemical,"In contrast, for male fetuses, significant associations were found between the highest exposure of perfluorohexane sulfonate (PFHxS) and increased CYP19A1 expression (β = 0.404, 95%CI: 0.131,0.677), and between the middle of perfluoroundecanoic acid (PFUdA), perfluorododecanoic acid (PFDoA), PFTrDA, and perfluoroheptanoic acid (PFHPA) and decreased CYP2E1 expression (β = -0.286, 95% CI: -0.511,-0.061; β = -0.270, 95% CI: -0.495,-0.045;β = -0.236, 95% CI: -0.466,-0.006; and β = -0.344, 95% CI: -0.571,-0.117, respectively).",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,60,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Placental CYP450 gene dysregulation by maternal PFAS: a novel mechanism linking prenatal exposure to altered toddler growth.,high,pending,
chem-0045,PFOA,not extracted,not extracted,single chemical,"In addition, higher cord PFOA, PFNA, and ∑PFCA concentrations were associated with lower birth weight.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,90,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.","Prenatal PFAS Exposure in a Twin Pregnancy Cohort: Associations with Thyroid Disruption, Placental Malperfusion, and Fetal Growth Restriction.",high,pending,
chem-0046,PFAS,not extracted,not extracted,chemical class,"TITLE: Associations of serum per- and polyfluoroalkyl substances (PFAS) mixture with the risk of chronic diseases: evidence from single‑ , multi-pollutant, and machine learning models Per- and polyfluoroalkyl substances (PFAS) are persistent chemicals commonly found in consumer products.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,65,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.","Associations of serum per- and polyfluoroalkyl substances (PFAS) mixture with the risk of chronic diseases: evidence from single‑ , multi-pollutant, and machine learning models.",medium,pending,
chem-0047,PFAS,not extracted,not extracted,chemical class,TITLE: PFAS exposure and reproductive dysfunction: implications for outcomes in assisted reproductive technologies The high stability and bioaccumulation potential of per- and polyfluoroalkyl substances (PFAS) have led to their widespread environmental presence and raised concerns about human health exposure through multiple pathways.,high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",PFAS exposure and reproductive dysfunction: implications for outcomes in assisted reproductive technologies.,medium,pending,
chem-0048,BPA,not extracted,not extracted,single chemical,"The molecular changes in responding to distinct environmental toxicants, including arsenic (As), lead (Pb), bisphenol A (BPA), tributyltin (TBT), di-2-ethylhexyl phthalate (DEHP), dioxin (TCDD), and fine particulate matter (PM2.5), were systematically identified and visualized on an integrative platform, ToxiTaRGET, to allow quickly search and browse by researchers.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",ToxiTaRGET: a multi-omics database for toxicant-responsive molecular targets.,high,pending,
chem-0049,phthalates,not extracted,not extracted,chemical class,"The molecular changes in responding to distinct environmental toxicants, including arsenic (As), lead (Pb), bisphenol A (BPA), tributyltin (TBT), di-2-ethylhexyl phthalate (DEHP), dioxin (TCDD), and fine particulate matter (PM2.5), were systematically identified and visualized on an integrative platform, ToxiTaRGET, to allow quickly search and browse by researchers.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,65,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",ToxiTaRGET: a multi-omics database for toxicant-responsive molecular targets.,high,pending,
