cluster_id,theme,article_count,main_titles,cluster_method
15,cadmium + cardiovascular,21,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China. | Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study. | Acute heat stress response in male and female mouse offspring perinatally exposed to cadmium or high fructose diet. | Joint effects of prenatal PM and heavy metals on preterm birth: evidence from a nested case-control study in China. 2.5 | Bayesian Network Modeling of Environmental, Social, and Behavioral Determinants of Cardiovascular Disease Risk.",hash_fallback
16,microplastics + cardiovascular,11,Joint associations between gestational environmental chemical mixtures and child behavioral outcomes. | Environmental Exposures and Atherosclerotic Risk Factors in Vulnerable Youth: The Example of American Indian/Alaska Native Populations. | Prenatal and childhood exposure to perfluoroalkyl substances and fat distribution in 9-year-old children: A prospective cohort study in the Faroe Islands. | Environmental Pollutants as Emerging Concerns for Cardiac Diseases: A Review on Their Impacts on Cardiac Health. | Prenatal exposures to mixtures of endocrine disrupting chemicals and sex-specific associations with children's BMI and overweight at 5.5 years of age in the SELMA study.,hash_fallback
17,mortality,9,"Joint effects of PM pollution and cold waves exposure on population health risks in Shijiazhuang, China. 2.5 | Environmental Contaminants and Congenital Heart Defects: Focus on PFAS, PAHs, and Other Emerging Exposures. | Impact of population density and industrial activity on PM2.5-Related adverse health outcomes: A study of the Quebec-Ontario corridor in Canada. | Impact of wildfires and PM on ST-elevation acute coronary syndrome in Rosario City: a case-crossover study. 2.5 | Per- and polyfluoroalkyl substances (PFAS) and hypertensive disorders of Pregnancy- integration of epidemiological and mechanistic evidence.",hash_fallback
18,PFOA + pregnancy,9,"Risks of respiratory and circulatory system diseases induced by exposure to PM in high humidity and low solar radiation environments: disease types, genes, and functions. 2.5 | Maternal and Neonatal Effects of Maternal Oral Exposure to Perfluoro-2-methoxyacetic Acid (PFMOAA) during Pregnancy and Early Lactation in the Sprague-Dawley Rat. | Cardiometabolic health and per and polyfluoroalkyl substances in an Inuit population. | Associations between lifestyle factors and levels of per- and polyfluoroalkyl substances (PFASs), phthalates and parabens in follicular fluid in women undergoing fertility treatment. | In utero exposure to per-/polyfluoroalkyl substances (PFASs): Preeclampsia in pregnancy and low birth weight for neonates.",hash_fallback
19,BPA + pregnancy,8,"Mechanisms of reproductive toxicity and endocrine disruption of bisphenols and per- and polyfluoroalkyl substances (PFAS): Implications for women's reproductive health. | Association between Particulate Matter (PM₂.₅), Nitrogen Dioxide (NO₂), Bisphenol A (BPA), and Phthalates and Infertility Outcomes: A Systematic Review and Meta-Analysis. | Prenatal and childhood exposure to mixtures of environmental chemicals and adolescence attentional problems: a triangulation study. | Endocrine disrupting chemicals: translating mechanisms into perinatal risk assessment. | An Umbrella Review of Meta-Analyses Evaluating Associations between Human Health and Exposure to Major Classes of Plastic-Associated Chemicals.",hash_fallback
20,neurodevelopment,7,Prenatal PFAS exposure associates with DXA assessed markers of adiposity in 7-year-old children from the Odense Child Cohort. | Adverse neurodevelopment in children associated with prenatal exposure to fine particulate matter (PM) - Possible roles of polycyclic aromatic hydrocarbons (PAHs) and mechanisms involved. 2.5 | Effect of Per and Poly-Fluoroalkyl Substances on Pregnancy and Child Development. | Pregnancy exposure to carbon black nanoparticles induced neurobehavioral deficits that are associated with altered mA modification in offspring. 6 | Exposure to carbon black nanoparticles during pregnancy persistently damages the cerebrovascular function in female mice.,hash_fallback
21,PFOS + immune,6,"Health benefit considerations for the development of fish advisory guidelines for PFOS. | Seasonal Influences on Human Placental Transcriptomes Associated with Spontaneous Preterm Birth. | Effects of maternal curcumin nano-micelle supplementation on transitioning ewes and their offspring: Performance, health biomarkers, and environmental impacts during heat stress. | Maternal exposure to perfluorobutane sulfonate (PFBS) during pregnancy: evidence of adverse maternal and fetoplacental effects in New Zealand White (NZW) rabbits. | Pregnancy exposure to carbon black nanoparticles exacerbates bleomycin-induced lung fibrosis in offspring via disrupting LKB1-AMPK-ULK1 axis-mediated autophagy.",hash_fallback
22,nanoplastics + cardiovascular,4,"Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation. | Micro- and nanoplastics and PM2.5 in cardiovascular disease: Emerging mechanisms, impacts, and therapeutic insights. | Gestational exposure to micro and nanoplastics differentially impacts cardiac development and function in male and female rats throughout the lifespan. | Identification of micro- and nanoplastic particles in postnatal sprague-dawley rat offspring after maternal inhalation exposure throughout gestation.",hash_fallback
23,respiratory,4,Influence of Saharan Dust Intrusions on Respiratory Medication Dispensing. | Reticulophagy promotes EMT-induced fibrosis in offspring's lung tissue after maternal exposure to carbon black nanoparticles during gestation by a mC-dependent manner. 5 | Efficacy of Communication Techniques and Health Outcomes of Bushfire Smoke Exposure: A Scoping Review. | Ultrafine particles and children's health: Literature review.,hash_fallback
24,inflammation,3,Investigating short-term lung inflammation using exhaled breath VOCs from exposure to candles: a randomized controlled crossover study among young mild asthmatics. | NRF2-Dependent Placental Effects Vary by Sex and Dose following Gestational Exposure to Ultrafine Particles. | Evaluating the evidence on genotoxicity and reproductive toxicity of carbon black: a critical review.,hash_fallback
