id,dataset_name,dataset_provider,dataset_type,variables_used,geographic_coverage,time_period,access_type,source_paper,evidence_sentence,citation,confidence,review_status,reviewer_notes
dataset-0011,Landsat,USGS/NASA,satellite remote sensing,PM2.5; air pollution; air pollutants; NO2; O3,United States,not specified,public or controlled; verify source,"Prenatal greenness, air pollution, and birthweight: Assessing sensitive windows of exposure and sub-populations in a multi-exposure setting.","We derived the Normalized Difference Vegetation Index (NDVI) from Landsat images (30 m resolution) to estimate greenness within 270 m and 1230 m radial buffers around each mother's address, to represent greenness immediately surrounding addresses and within a short walk, respectively, in the three seasons before birth.",PMID: 41558211,high,pending,
dataset-0012,Sentinel,ESA,satellite remote sensing,PM2.5; PM10; particulate matter; air pollution; ozone,not specified,not specified,public or controlled; verify source,Google Trends as a health sentinel. ALERT study: Analyzing Symptoms Perceptions Related To Environmental pollution.,TITLE: Google Trends as a health sentinel.,PMID: 41475659,high,pending,
dataset-0013,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,Per- and polyfluoroalkyl substances (PFAS) exposure and cardiovascular risk: lipid profile as a mediator.,METHODS: Data from 25 531 NHANES participants (age ≥ 20 years old) enrolled between 2015 and 2020 were examined.,PMID: 41469667,high,pending,
dataset-0014,NHANES,CDC/NCHS,biomonitoring and health survey,PFOA; PFOS; lead; mercury; cadmium,not specified,not specified,public or controlled; verify source,"Bayesian Network Modeling of Environmental, Social, and Behavioral Determinants of Cardiovascular Disease Risk.",METHODS: A cross-sectional analysis was conducted using NHANES 2017-2018 data.,PMID: 41154955,high,pending,
dataset-0015,PRISM,PRISM Climate Group,climate gridded data,PM2.5; particulate matter; air pollution,not specified,not specified,public or controlled; verify source,Association between prenatal ambient particulate matter and childhood asthma is modified by community safety and child sex.,"The Asthma Coalition on Community, Environment and Social Stress (ACCESS) project enrolled 955 pregnant women between August 2002 and July 2009.The Programming of Intergenerational Stress Mechanisms (PRISM) study recruited 390 pregnant women from March 2011 to December 2013.",PMID: 41083639,high,pending,
dataset-0016,Daymet,NASA/ORNL,weather and climate gridded data,heat; temperature,United States,not specified,public or controlled; verify source,Long-term exposure to summer heat and mortality in the southeastern U.S.: a prospective analysis in the Southern Community Cohort Study.,"In the Southern Community Cohort Study, a large cohort of predominantly Black and low-income participants in the southeastern U.S., we linked baseline addresses the heat index estimates derived from Daymet dataset using monthly (July and August) average maximum air temperature and relative humidity.",PMID: 40962003,high,pending,
dataset-0017,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,Association Between Per- and Polyfluoroalkyl Substances (PFAS) Exposure and LDL Cholesterol in US Adults: Evidence From NHANES.,TITLE: Association Between Per- and Polyfluoroalkyl Substances (PFAS) Exposure and LDL Cholesterol in US Adults: Evidence From NHANES Per- and polyfluoroalkyl substances (PFAS) are persistent environmental pollutants increasingly implicated in cardiometabolic risk.,PMID: 40913410,high,pending,
dataset-0018,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS; lead; mercury,not specified,not specified,public or controlled; verify source,Association of PFAS and Metals with Cardiovascular Disease Risk: Exploring the Mediating Effect of Diet.,"METHODS: Utilizing data from the National Health and Nutrition Examination Survey (NHANES) 2017-2018 cycle ( = 660), we assessed environmental exposures (lead, cadmium, mercury, perfluorooctanoic acid-PFOA, perfluorooctane sulfonate-PFOS), dietary inflammatory potential (DII), and cardiovascular markers (blood pressure, lipid profile, C-reactive protein).",PMID: 40843450,high,pending,
dataset-0019,Medicare,CMS,health claims,PM2.5; air pollutants; ozone; NO2; nitrogen dioxide,United States,not specified,public or controlled; verify source,Chronic effects of wildfire smoke and criteria air pollutants on cardiovascular hospitalization rates in the contiguous US.,"In this study, we obtained county-level, three-year average cardiovascular hospitalization rates for Medicare beneficiaries across the contiguous US between 2006 and 2016 from the Centers for Disease Control and Prevention.",PMID: 40774559,high,pending,
dataset-0020,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,"Sex differences in ischemic heart disease and evidence gathering related to exposure risk, prevention, and treatment of per- and poly-fluoroalkyl substances.","The National Health and Nutrition Examination Survey (NHANES) database was used to identify sex differences in response to environmental exposure to PFAS, including survival probability and dose-response.",PMID: 40620566,high,pending,
dataset-0021,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOS,not specified,not specified,public or controlled; verify source,Assessing the effect of perfluoroalkyl and polyfluoroalkyl substances on cardiovascular-kidney-metabolic syndrome: Insights from an interpretable machine learning model.,"This study utilized cross-sectional data from the National Health and Nutrition Examination Survey (NHANES), conducted from 2015 to 2020, involving a total of 1953 participants.",PMID: 40609416,high,pending,
dataset-0022,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,An assessment of maternal concentrations of per- and polyfluoroalkyl substances (PFAS) and trace elements during the second trimester of pregnancy in western Pennsylvania.,"Additionally, we descriptively compared MOMI concentrations to a nationally representative sample of US women of reproductive age from the National Health and Nutrition Examination Survey (NHANES) and to published studies characterizing exposures among international populations.",PMID: 40593380,high,pending,
dataset-0023,Medicare,CMS,health claims,PM2.5; ambient air pollution; air pollution; air pollutants; NO2,not specified,not specified,public or controlled; verify source,Effects of intermediate and long-term exposure to ambient air pollution and temperature on hospital admissions with second cardiovascular events among medicare beneficiaries.,TITLE: Effects of intermediate and long-term exposure to ambient air pollution and temperature on hospital admissions with second cardiovascular events among medicare beneficiaries..,PMID: 40578117,high,pending,
dataset-0024,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS,not specified,not specified,public or controlled; verify source,"Combined Effect of Metals, PFAS, Phthalates, and Plasticizers on Cardiovascular Disease Risk.","TITLE: Combined Effect of Metals, PFAS, Phthalates, and Plasticizers on Cardiovascular Disease Risk This study assessed the relationship between environmental chemical mixtures-including metals, per- and polyfluoroalkyl substances (PFAS), phthalates, and plasticizers-and key cardiovascular health markers using data from the 2013-2014 National Health and Nutrition Examination Survey (NHANES).",PMID: 40559949,high,pending,
dataset-0025,TRI,EPA,chemical release inventory,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,The relationship between prenatal perfluorine and polyfluoroalkyl substances (PFAS) exposure and infant neurodevelopment: Modifying effects of DHA revised.,"RESULTS: In the gross motor domain, there was a significant positive association between child development delay at 6 months of age and first-trimester PFOA (1st tri: OR = 1.97, 95 % CI: 1.20, 3.24) as well as second-trimester PFNA (2nd tri: OR = 1.61, 95 % CI: 1.03, 2.52).",PMID: 40555095,high,pending,
dataset-0026,Medicare,CMS,health claims,PM2.5; particulate matter; wildfire smoke,United States,not specified,public or controlled; verify source,Wildfire Smoke Exposure and Cause-Specific Hospitalization in Older Adults.,PARTICIPANTS: This retrospective cohort study used Medicare inpatient claims data from 2006 to 2016 linked with machine learning-derived smoke-specific PM2.5 to assess associations between smoke PM2.5 and hospitalization rates.,PMID: 40305019,high,pending,
dataset-0027,TRI,EPA,chemical release inventory,air pollution; mercury,United States,not specified,public or controlled; verify source,Industrial air pollution and newborn hearing screening failure.,TITLE: Industrial air pollution and newborn hearing screening failure Hearing loss in newborns is a prevalent issue that can hinder the growth of language skills and cognitive development.,PMID: 40233453,high,pending,
dataset-0028,MODIS,NASA,satellite remote sensing,particulate matter; air pollution; NO2,United States,not specified,public or controlled; verify source,Air pollution and respiratory health risks in Jharkhand: a remote sensing and statistical approach.,"In this study, we have focused on assessing spatiotemporal changes in air pollution and its impact on public health status in Jharkhand using MODIS aerosol optical depth (AOD), concentration of particulate matter like PM and respirable suspended particulate matter (PM), SO, and NO2, along with detailed statistics of number of asthma patients collected from the Annual Health Survey, Census of India.",PMID: 40214835,high,pending,
dataset-0029,MODIS,NASA,satellite remote sensing,heat; greenness; NDVI,not specified,not specified,public or controlled; verify source,The modifying role of residential greenness on the association between heat waves and adverse birth outcomes: Results from the ELEFANT project.,Residential greenness levels were evaluated using the MODIS Normalized Difference Vegetation Index (NDVI).,PMID: 39952460,high,pending,
dataset-0030,Air Quality System,EPA,air quality monitoring,PM2.5; particulate matter,not specified,not specified,public or controlled; verify source,Confounding effects of socioeconomic status on the association between long-term PM2.5 exposure and mortality in Korea.,PM2.5 exposure levels were estimated at the city level using the Community Multiscale Air Quality system.,PMID: 39886997,high,pending,
dataset-0031,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,Assessment of modeled serum per- and polyfluoroalkyl substances concentrations from exposure estimates for pregnant women in the general population in comparison to previously measured serum concentrations.,Historical dietary ingestion rate was reconstructed using serum PFAS concentrations of pregnant women from NHANES.,PMID: 39756782,high,pending,
dataset-0032,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,Kidney function mediates the effects of four per-and polyfluoroalkyl substances (PFAS) on atherosclerotic cardiovascular disease.,"METHODS: This study utilizes data from 14,607 participants in the NHANES 2005-2018 to conduct a cross-sectional study.",PMID: 39608156,high,pending,
dataset-0033,Medicare,CMS,health claims,PM2.5; particulate matter,United States,not specified,public or controlled; verify source,Source-Specific PM and Atherosclerotic Cardiovascular Disease Mortality. 2.5,"METHODS: We used data from the Centers for Medicare & Medicaid Services (including data from 65,838,403 participants) from 2000 to 2016.",PMID: 39589192,high,pending,
dataset-0034,Daymet,NASA/ORNL,weather and climate gridded data,PM2.5; particulate matter; temperature,United States,not specified,public or controlled; verify source,"Low-level PM 2.5 Exposure, Cardiovascular and Nonaccidental Mortality, and Related Health Disparities in 12 US States.","We aggregated predicted annual PM2.5 exposures from a validated ensemble exposure model, ambient temperature from Daymet predictions, and mortality rates to all census tract-years within the states.",PMID: 39575927,high,pending,
dataset-0035,Environmental Public Health Tracking,CDC,environmental public health tracking,PM2.5; particulate matter,United States,not specified,public or controlled; verify source,Particulate Matter 2.5 Pollution Impact on Comorbid Cancer and Cardiovascular Disease Mortality in the U.S.,Data on average daily density of PM2.5 were abstracted from the 2018 CDC's National Environmental Public Health Tracking system.,PMID: 39444413,high,pending,
dataset-0036,Medicare,CMS,health claims,PM2.5; air pollution; NO2; O3,not specified,not specified,public or controlled; verify source,Air pollution below US regulatory standards and cardiovascular diseases using a double negative control approach.,We use a double negative control approach to examine the association between long-term exposure to air pollution at low concentration and cardiovascular hospitalizations among US Medicare beneficiaries aged ≥65 years between 2000 and 2016.,PMID: 39349441,high,pending,
dataset-0037,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,United States,not specified,public or controlled; verify source,Exposure to per- and polyfluoroalkyl substances is associated with impaired cardiovascular health: a cross-sectional study.,adults reported in the National Health and Nutrition Examination Survey (NHANES) study (2005-2018).,PMID: 39267634,high,pending,
dataset-0038,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS,United States,not specified,public or controlled; verify source,Perfluoroalkyl and Polyfluoroalkyl Substances in Relation to the Participant-Reported Total Pregnancy and Live Birth Numbers among Reproductive-Aged Women in the United States.,"To address this gap, we conducted a cross-sectional study using the data from the United States National Health and Nutrition Examination Survey (NHANES) collected between 2013 and 2018.",PMID: 39195715,high,pending,
dataset-0039,PRISM,PRISM Climate Group,climate gridded data,air pollution; air pollutants; NO2,United States,not specified,public or controlled; verify source,Air pollution associated with cardiopulmonary disease and mortality among participants with preserved ratio impaired spirometry.,"BACKGROUND: Epidemiological evidence regarding the association between air pollutants and cardiopulmonary disease, mortality in individuals with preserved ratio impaired spirometry (PRISm), and their combined effects remains unclear..",PMID: 39122030,high,pending,
dataset-0040,Air Quality System,EPA,air quality monitoring,PM2.5,not specified,not specified,public or controlled; verify source,The Camp fire and perinatal health: an example of the generalized synthetic control method to identify susceptible windows of exposure.,We linked California birth records from 2017-2019 to daily smoke levels using US EPA Air Quality System (AQS) PM2.5 data and NOAA Hazard Mapping System smoke plume polygons during the Camp fire.,PMID: 39117573,high,pending,
dataset-0041,Medicare,CMS,health claims,particulate matter; ambient air pollution; air pollution,not specified,not specified,public or controlled; verify source,Ambient Air Pollution Exposure and Adverse Outcomes Among Medicare Beneficiaries With Heart Failure.,TITLE: Ambient Air Pollution Exposure and Adverse Outcomes Among Medicare Beneficiaries With Heart Failure..,PMID: 39082400,high,pending,
dataset-0042,Daymet,NASA/ORNL,weather and climate gridded data,heat; temperature,not specified,not specified,public or controlled; verify source,Preterm and Early-Term Delivery After Heat Waves in 50 US Metropolitan Areas.,EXPOSURES: Daily temperature data from Daymet at 1-km2 resolution were averaged over each MSA using population weighting.,PMID: 38787560,high,pending,
dataset-0043,Medicare,CMS,health claims,heat; ambient heat; temperature,United States,not specified,public or controlled; verify source,Ambient heat exposure patterns and emergency department visits and hospitalizations among medicare beneficiaries 2008-2019.,TITLE: Ambient heat exposure patterns and emergency department visits and hospitalizations among medicare beneficiaries 2008-2019..,PMID: 38613874,high,pending,
dataset-0044,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS,not specified,not specified,public or controlled; verify source,Environmental exposure to per- and polyfluoroalkyl substances mixture and asthma in adolescents.,"METHODS: Using data from the 2013-2018 National Health and Nutrition Examination Survey (NHANES), 886 adolescents aged 12-19 years were included in this study.",PMID: 38411670,high,pending,
dataset-0045,MODIS,NASA,satellite remote sensing,particulate matter,not specified,not specified,public or controlled; verify source,Health effects of exposure to urban ambient particulate matter: A spatial-statistical study on 3rd-trimester pregnant women.,"The aerosol optical depth (AOD) data retrieved from the Moderate Resolution Imaging Spectroradiometer (MODIS) were employed as influencing variables and validated using field-collected PM data (r = 0.62, p-value <0.01).",PMID: 38369086,high,pending,
dataset-0046,Medicare,CMS,health claims,air pollution,United States,not specified,public or controlled; verify source,Applying a multistate survival model to explore the role of fine particles in promoting frailty in the Medicare cohort.,TITLE: Applying a multistate survival model to explore the role of fine particles in promoting frailty in the Medicare cohort Fine particle pollution is a well-established risk to human health.,PMID: 38343733,high,pending,
dataset-0047,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS,United States,not specified,public or controlled; verify source,"The U.S. PFAS exposure burden calculator for 2017-2018: Application to the HOME Study, with comparison of epidemiological findings from NHANES.","PFAS exposure burden calculator for 2017-2018: Application to the HOME Study, with comparison of epidemiological findings from NHANES..",PMID: 38224844,high,pending,
dataset-0048,MODIS,NASA,satellite remote sensing,particulate matter; air pollution; air pollutant; greenness; NDVI,not specified,not specified,public or controlled; verify source,"Association of residential greenness, air pollution with adverse birth outcomes: Results from 61,762 mother‑neonatal pairs in project ELEFANT (2011-2021).","METHODS: Utilizing data from project ELEFANT spanning the years 2011 to 2021, we assessed residential greenness using the NDVI from MODIS data and residential particulate matter exposure level from CHAP data.",PMID: 38145684,high,pending,
dataset-0049,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS; lead; mercury,not specified,not specified,public or controlled; verify source,Association of Combined Metals and PFAS with Cardiovascular Disease Risk.,"METHODS: Utilizing data from the National Health and Nutrition Examination Survey (NHANES) spanning from 2007 to 2014, this investigation explored the effects of PFASs and metals on CVD risk.",PMID: 38133380,high,pending,
dataset-0050,PRISM,PRISM Climate Group,climate gridded data,PM2.5; particulate matter; ambient air pollution; air pollution,not specified,not specified,public or controlled; verify source,DNA methylation profiles reveal sex-specific associations between gestational exposure to ambient air pollution and placenta cell-type composition in the PRISM cohort study.,TITLE: DNA methylation profiles reveal sex-specific associations between gestational exposure to ambient air pollution and placenta cell-type composition in the PRISM cohort study..,PMID: 38041176,high,pending,
dataset-0051,Air Quality System,EPA,air quality monitoring,ozone; O3; ozone (O3); heat; temperature,United States,not specified,public or controlled; verify source,The short-term effect of ozone on pregnancy loss modified by temperature: Findings from a nationwide epidemiological study in the contiguous United States.,We assessed environmental exposure based on the daily maximum 8 h average of O from Air Quality System monitors and the 24 h average temperature from the North American Regional Reanalysis product.,PMID: 37549698,high,pending,
dataset-0052,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,Factors affecting serum PFAS concentrations among US females with surgically and naturally induced menopause: data from NHANES 2003-2018.,"TITLE: Factors affecting serum PFAS concentrations among US females with surgically and naturally induced menopause: data from NHANES 2003-2018 Sex hormones influence excretion of the biopersistent per-and polyfluoroalkyl substances (PFAS) in rodents, but such influences in human studies are less clear.",PMID: 37369902,high,pending,
dataset-0053,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS,not specified,not specified,public or controlled; verify source,Associations between serum per- and polyfluoroalkyl substances and asthma morbidity in the National Health and Nutrition Examination Survey (2003-18).,"METHODS: We performed secondary analysis of data from the National Health and Nutrition Examination Survey (NHANES, 2003-18).",PMID: 37274185,high,pending,
dataset-0054,TRI,EPA,chemical release inventory,heat; temperature,not specified,not specified,public or controlled; verify source,"Thermoregulatory, Cardiovascular and Perceptual Responses of Spectators of a Simulated Football Match in Hot and Humid Environmental Conditions.","Tri (37.3 ± 0.4 °C to 37.4 ± 0.3 °C, = 0.11), HR (76 ± 15 bpm to 77 ± 14 bpm, = 0.96) and MAP (97 ± 10 mm Hg to 97 ± 10 mm Hg, = 0.67) did not change throughout the match.",PMID: 37104152,high,pending,
dataset-0055,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS; lead; mercury,United States,not specified,public or controlled; verify source,The Association of Combined Per- and Polyfluoroalkyl Substances and Metals with Allostatic Load Using Bayesian Kernel Machine Regression.,: Data from the National Health and Nutrition Examination Survey (NHANES) from 2007 to 2014 were used to conduct this study on persons aged 20 years and older.,PMID: 36975601,high,pending,
dataset-0056,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOA; PFOS,not specified,not specified,public or controlled; verify source,Perfluoroalkyl substance exposure is associated with asthma and innate immune cell count in US adolescents stratified by sex.,"This study explored the relationship between PFAS exposure and risks of asthma, wheezing, and immunosuppression in 12-19 year-olds using the National Health and Nutrition Examination Survey (NHANES) data.",PMID: 36840869,high,pending,
dataset-0057,MODIS,NASA,satellite remote sensing,PM10; particulate matter,not specified,not specified,public or controlled; verify source,"Cardiovascular, respiratory and all-cause (natural) health endpoint estimation using a spatial approach in Malaysia.","We estimated the population-weighted exposure level (PWEL) of PM10 concentrations in Malaysia for 2000, 2008, and 2013 using aerosol optical density (AOD) data from publicly available remote sensing satellite data (MODIS Terra).",PMID: 36804978,high,pending,
dataset-0058,PRISM,PRISM Climate Group,climate gridded data,heat; temperature,not specified,not specified,public or controlled; verify source,Critical windows of susceptibility for the effects of prenatal exposure to heat and heat variability on gestational growth.,Daily temperature and HI values were obtained from 800 m gridded spatial climate datasets aggregated by the PRISM Climate Group.,PMID: 36279910,high,pending,
dataset-0059,Environmental Public Health Tracking,CDC,environmental public health tracking,PM2.5; particulate matter,not specified,not specified,public or controlled; verify source,Associations between short-term exposure of PM constituents and hospital admissions of cardiovascular diseases among 18 major Chinese cities. 2.5,"Directly measured PM constituents, including ions and polycyclic aromatic hydrocarbons, were collected by the Chinese Environmental Public Health Tracking system.",PMID: 36228357,high,pending,
dataset-0060,CompTox,EPA,chemical/toxicity database,PFAS,not specified,not specified,public or controlled; verify source,Modeling the transplacental transfer of small molecules using machine learning: a case study on per- and polyfluorinated substances (PFAS).,The model was then used to make predictions for a set of 7982 per- and polyfluorinated alkyl substances that are listed on EPA's CompTox Chemicals Dashboard.,PMID: 36207486,high,pending,
dataset-0061,PRISM,PRISM Climate Group,climate gridded data,particulate matter,United States,not specified,public or controlled; verify source,Prenatal exposure to PM and childhood cognition: Accounting for between-site heterogeneity in a pooled analysis of ECHO cohorts in the Northeastern United States. 2.5,METHODS: Analyses included 348 mother-child dyads enrolled in the dual site (New York City and Boston) PRogramming of Intergenerational Stress Mechanisms (PRISM) cohort and in the First Thousand Days of Life (FTDL) study (Northern Virginia) participating in the Environmental influences on Child Health Outcomes (ECHO) national consortium.,PMID: 36030921,high,pending,
dataset-0062,Air Quality System,EPA,air quality monitoring,PM2.5; ambient air pollution; air pollution; air pollutants; ozone,United States,not specified,public or controlled; verify source,Social Susceptibility to Multiple Air Pollutants in Cardiovascular Disease.,"Environmental Protection Agency (EPA) Air Quality System (AQS) monitors in NYC for 2005-2011, which we combined with NYCCAS surfaces to create residence- and day-specific spatiotemporal exposure estimates.",PMID: 36004603,high,pending,
dataset-0063,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS; PFOS,not specified,not specified,public or controlled; verify source,Predicting Exposure to Perfluorinated Alkyl Substances (PFAS) among US Infants.,TITLE: Predicting Exposure to Perfluorinated Alkyl Substances (PFAS) among US Infants PFASs have been detected in nearly every serum sample collected over the last two decades from US adults as part of the National Health and Nutrition Examination Survey (NHANES) and are commonly found in other data sets from around the world.,PMID: 35886252,high,pending,
dataset-0064,TRI,EPA,chemical release inventory,particulate matter,not specified,not specified,public or controlled; verify source,Association of exposure to ambient particulate matter with maternal thyroid function in early pregnancy.,"We estimated associations between ambient PM and particulate matter exposure during the first trimester of pregnancy (estimated with land-use regression models) and maternal thyroid hormone concentrations (free thyroxine (FT4), free tri-iodothyronine (FT3), and thyroid-stimulating hormone (TSH)) collected between weeks 10 and 17 of gestation using linear regression models adjusting for potential confounders.",PMID: 35870505,high,pending,
dataset-0065,Medicare,CMS,health claims,particulate matter; air pollution; air pollutants; NO2; temperature,United States,not specified,public or controlled; verify source,The effect of long-term exposure to air pollution and seasonal temperature on hospital admissions with cardiovascular and respiratory disease in the United States: A difference-in-differences analysis.,"METHODS: We used a variation of a difference-in-difference (DID) approach to assess the effects of long-term exposure to warm-season temperature, cold-season temperature, NO2, O, and particulate matter on the rate of hospital admissions for cardiovascular disease (CVD), myocardial infarction (MI), ischemic stroke, and respiratory diseases from 2001 to 2016 among Medicare beneficiaries who use fee-for-service programs.",PMID: 35750164,high,pending,
dataset-0066,Daymet,NASA/ORNL,weather and climate gridded data,heat; temperature,United States,not specified,public or controlled; verify source,Acute association between heatwaves and stillbirth in six US states.,County-level temperature data were obtained from Daymet and linked to cases and controls by residential county and the exposure window.,PMID: 35710419,high,pending,
dataset-0067,Medicare,CMS,health claims,particulate matter; air pollution; air pollutant; temperature,United States,not specified,public or controlled; verify source,Association Between Long-term Ambient PM Exposure and Cardiovascular Outcomes Among US Hemodialysis Patients. 2.5,2.5 2.5 OUTCOME: CV event and CVD-specific mortality were ascertained based on ICD-9/ICD-10 diagnostic codes and recorded cause of death from Centers for Medicare & Medicaid Services form 2746.,PMID: 35690155,high,pending,
dataset-0068,NHANES,CDC/NCHS,biomonitoring and health survey,PFOA; PFOS,not specified,not specified,public or controlled; verify source,The Association between Multiple Per- and Polyfluoroalkyl Substances' Serum Levels and Allostatic Load.,"Methods: This study was performed on adults aged 20 and older, using the National Health and Nutrition Examination Survey (NHANES) 2007−2014 data.",PMID: 35564852,high,pending,
dataset-0069,PRISM,PRISM Climate Group,climate gridded data,PM2.5; particulate matter,United States,not specified,public or controlled; verify source,Ambient PM exposure and salivary cortisol output during pregnancy in a multi-ethnic urban sample. 2.5,METHODS: Participants included pregnant individuals enrolled in the PRogramming of Intergenerational Stress Mechanisms (PRISM) pre-birth cohort.,PMID: 35312378,high,pending,
dataset-0070,NHANES,CDC/NCHS,biomonitoring and health survey,PFAS,not specified,not specified,public or controlled; verify source,The relationship between multiple perfluoroalkyl substances and cardiorespiratory fitness in male adolescents.,We used cross-sectional data from 491 teenagers (aged 13-19 years) from the 2003-2004 National Health and Nutrition Examination Survey (NHANES) and examined the association between mixed PFAS exposure and CRF via weighted quantile sum (WQS) regression.,PMID: 35288850,high,pending,
