article_i,title_i,article_j,title_j,cosine_similarity,cosine_distance,note
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,PMID: 29881545,Outdoor air pollution and respiratory health: a bibliometric analysis of publications in peer-reviewed journals (1900 - 2017).,0.9545,0.0455,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,PMID: 30371957,Changes in the relationship between childhood asthma and ambient air pollution in Taiwan: Results from a nationwide survey repeated 5 years apart.,0.9353,0.0647,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,PMID: 27215888,Deployment-related Respiratory Issues.,0.9312,0.0688,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,PMID: 39702915,The health effects of poor air quality.,0.9308,0.0692,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42531931,Geospatial-based neighborhood hazards and asthma in adults: Interaction with social vulnerability.,PMID: 37438512,Body composition modify the association between ambient particulate matter and lung function among asthma patients.,0.9005,0.0995,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42531931,Geospatial-based neighborhood hazards and asthma in adults: Interaction with social vulnerability.,PMID: 38411188,"Examining the impact of air pollution, climate change, and social determinants of health on asthma and environmental justice.",0.872,0.128,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42531931,Geospatial-based neighborhood hazards and asthma in adults: Interaction with social vulnerability.,PMID: 35457717,"Associations between Daily Ambient Air Pollution and Pulmonary Function, Asthma Symptom Occurrence, and Quick-Relief Inhaler Use among Asthma Patients.",0.8718,0.1282,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42531931,Geospatial-based neighborhood hazards and asthma in adults: Interaction with social vulnerability.,PMID: 32939661,Short-term effect of particular matter and sulfur dioxide exposure on asthma and/or chronic obstructive pulmonary disease hospital admissions in Center of Anatolia.,0.8507,0.1493,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42531931,Geospatial-based neighborhood hazards and asthma in adults: Interaction with social vulnerability.,PMID: 37937901,The effects of the COVID-19 pandemic on PICU admissions for severe asthma exacerbations: A single-center experience.,0.8506,0.1494,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,PMID: 30731375,"Sources of indoor particulate matter (PM) and outdoor air pollution in China in relation to asthma, wheeze, rhinitis and eczema among pre-school children: Synergistic effects between antibiotics use and PM and second hand smoke. 10",0.9475,0.0525,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,PMID: 35366721,"Impact of air pollutants on hospital visits for pediatric asthma in Fuzhou city, southeast China.",0.8462,0.1538,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,PMID: 35618005,Association between sub-daily exposure to ambient air pollution and risk of asthma exacerbations in Australian children.,0.8329,0.1671,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,PMID: 32584293,Air pollution and weather as the determinants of acute attacks of asthma: Spatiotemporal approach.,0.822,0.178,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,PMID: 37224069,Association of Temperature Thresholds with Heat Illness- and Cardiorespiratory-Related Emergency Visits during Summer Months in Alaska.,0.8179,0.1821,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",PMID: 31990898,"Seasonal variation in blood pressure: Evidence, consensus and recommendations for clinical practice. Consensus statement by the European Society of Hypertension Working Group on Blood Pressure Monitoring and Cardiovascular Variability.",0.9737,0.0263,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",PMID: 37830911,Risk factors for heat-related illness resulting in death or hospitalization in the oil and gas extraction industry.,0.9437,0.0563,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",PMID: 34665079,"Physiological Equivalent Temperature (PET) index and cardiovascular hospital admissions in Ahvaz, southwest of Iran.",0.8964,0.1036,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",PMID: 40295716,Potential influence of geomagnetic activity on blood pressure statistical fluctuations at mid-magnetic latitudes.,0.8547,0.1453,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",PMID: 39925671,Extreme Temperature Events in Kazakhstan and Their Impacts on Public Health and Energy Demand.,0.827,0.173,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,PMID: 35205092,MOET Efficiency in a Spanish Herd of Japanese Black Heifers and Analysis of Environmental and Metabolic Determinants.,0.9611,0.0389,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,PMID: 36841185,Temperature variability and birthweight: Epidemiological evidence from Africa.,0.8639,0.1361,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,PMID: 30744345,"Effects of heat stress on body temperature, milk production, and reproduction in dairy cows: a novel idea for monitoring and evaluation of heat stress — A review.",0.8579,0.1421,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,PMID: 32559561,Term birthweight and critical windows of prenatal exposure to average meteorological conditions and meteorological variability.,0.8533,0.1467,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,PMID: 39925648,"Study protocol for an observational cohort study of heat stress impacts in pregnancy in The Gambia, West Africa.",0.8391,0.1609,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,PMID: 29643921,Air pollution and cardiovascular and respiratory disease: Rationale and methodology of CAPACITY study.,0.8383,0.1617,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,PMID: 31452658,Association between ambient air pollution and hospitalization caused by atrial fibrillation.,0.8031,0.1969,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,PMID: 26988881,Overall human mortality and morbidity due to exposure to air pollution.,0.7964,0.2036,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,PMID: 27189803,Dietary and pharmacological intervention to mitigate the cardiopulmonary effects of air pollution toxicity.,0.7879,0.2121,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,PMID: 32590284,"Short-term exposure to particulate matter (PM and PM), nitrogen dioxide (NO), and ozone (O) and all-cause and cause-specific mortality: Systematic review and meta-analysis. 10 2.5 2 3",0.7741,0.2259,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,PMID: 40749248,"The interaction between air pollution, weather conditions, and health risks: a systematic review.",0.8333,0.1667,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,PMID: 28988894,A novel method to construct an air quality index based on air pollution profiles.,0.8092,0.1908,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,PMID: 41462774,"The Interlinkages Between Ambient Temperature and Air Pollution in Exacerbating Childhood Asthma: A Time Series Study in Cape Town, South Africa.",0.7901,0.2099,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,PMID: 35366721,"Impact of air pollutants on hospital visits for pediatric asthma in Fuzhou city, southeast China.",0.7863,0.2137,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,PMID: 30229591,[Association Between Fine Particulate Matter and Asthma Hospital Outpatient Visits in Hangzhou].,0.7784,0.2216,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,PMID: 41823479,Heat stress and cardiovascular health: a multi-faceted and under-recognized emergency.,1.0,0.0,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,PMID: 40131260,Understanding the Cardiovascular Impacts of Heatwaves: Moving Beyond Simple Definitions.,0.9999,0.0001,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,PMID: 41316912,From mechanistic promise to clinical translation: Passive heat therapy as a cardiovascular and functional adjunct in ageing and disease.,0.9999,0.0001,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,PMID: 41420374,Perfluoroalkyl substance exposure and risk of asthma at age 9 years.,0.9999,0.0001,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,PMID: 38787564,"Preterm and Early-Term Birth, Heat Waves, and Our Changing Climate.",0.9997,0.0003,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,PMID: 32081898,World Trade Center-Cardiorespiratory and Vascular Dysfunction: Assessing the Phenotype and Metabolome of a Murine Particulate Matter Exposure Model.,0.9175,0.0825,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,PMID: 33039871,Atmospheric PM blocking up autophagic flux in HUVECs via inhibiting Sntaxin-17 and LAMP2. 2.5,0.9172,0.0828,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,PMID: 31199065,PM upregulates rat mesenteric arteries 5-HT receptor via inflammatory-mediated mitogen-activated protein kinases signaling pathway. 2.5 2A,0.9165,0.0835,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,PMID: 41200148,The role of cardiovascular disease as a mediator in mitigating the impact of ambient PM on dementia risk. 2.5,0.9118,0.0882,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,PMID: 28899404,Extracellular vesicle-packaged miRNA release after short-term exposure to particulate matter is associated with increased coagulation.,0.9118,0.0882,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",PMID: 29137886,Diesel exhaust inhalation exposure induces pulmonary arterial hypertension in mice.,0.8451,0.1549,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",PMID: 34048743,Association of long-term exposure to ambient particulate pollution with stage 1 hypertension defined by the 2017 ACC/AHA Hypertension Guideline and cardiovascular disease: The CHCN-BTH cohort study.,0.832,0.168,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",PMID: 36895693,Effects of ambient particulate exposure on blood lipid levels in hypertension inpatients.,0.8302,0.1698,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",PMID: 36731599,Pre- and postnatal particulate matter exposure and blood pressure in children and adolescents: A systematic review and meta-analysis.,0.8254,0.1746,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",PMID: 37818697,Short-Term Ambient Air Pollution Exposure and Risk of Out-of-Hospital Cardiac Arrest in Sweden: A Nationwide Case-Crossover Study.,0.8168,0.1832,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,PMID: 30618849,Passive Heating: Reviewing Practical Heat Acclimation Strategies for Endurance Athletes.,0.9944,0.0056,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,PMID: 30676869,Effect of heat stress on vascular outcomes in humans.,0.9943,0.0057,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,PMID: 39925671,Extreme Temperature Events in Kazakhstan and Their Impacts on Public Health and Energy Demand.,0.9942,0.0058,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,PMID: 37979477,The reliability of a portable steam sauna pod for the whole-body passive heating of humans.,0.9934,0.0066,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,PMID: 41337320,A New Geospatial Index for Territorial Risk Stratification of Out-of-Hospital Cardiac Arrest During Heat Days.,0.9608,0.0392,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,PMID: 42347387,Pregestational and Gestational Exposure to Wood Smoke-Derived PM Is Associated with Structural Remodeling of the Maternal Aortic Arch and Hemodynamic Changes During Pregnancy in Rats. 2.5,0.9329,0.0671,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,PMID: 36302350,Air Pollution Levels Outside the Capital's Maternity Hospitals.,0.9315,0.0685,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,PMID: 30836309,Ambient PM and clinically recognized early pregnancy loss: A case-control study with spatiotemporal exposure predictions. 2.5,0.9074,0.0926,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,PMID: 28002353,Ambient PM2.5 Aluminum and Elemental Carbon and Placental Abruption Morbidity.,0.8957,0.1043,sampled similarity only; full pairwise skipped for 6155 records
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,PMID: 35409432,Pre- and Postnatal Fine Particulate Matter Exposure and Childhood Cognitive and Adaptive Function.,0.8861,0.1139,sampled similarity only; full pairwise skipped for 6155 records
