id,evidence_type,review_type,research_area,technologies_methods,application_domains,key_tradeoffs,challenges,future_directions,study_design,data_source,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
review-0011,review / perspective / research synthesis,perspective,Air pollution and venous thromboembolism: current knowledge and future perspectives.,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,perspective,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In this Review, we discuss the current epidemiological evidence linking air pollution to the development of venous thrombotic events.",PMID: 39653046,Air pollution and venous thromboembolism: current knowledge and future perspectives.,medium,pending,
review-0012,review / perspective / research synthesis,narrative review / research synthesis,Climate Change and Cardiovascular Disease: Who Is Vulnerable?,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In this review, we summarize that pathophysiological mechanisms by ambient temperatures directly affect cardiovascular health and describe the most vulnerable subgroups, defined by age, sex, race, and socioeconomic factors.",PMID: 39588645,Climate Change and Cardiovascular Disease: Who Is Vulnerable?,medium,pending,
review-0013,review / perspective / research synthesis,narrative review / research synthesis,The Emission Characteristics and Health Risks of Firefighter-Accessed Fire: A Review.,not specified in abstract,environment,not specified in abstract,not specified in abstract,"Through a meticulous analysis of the current research findings, this review delineates future research directions, focusing on the composition and properties of these pollutants, the impacts of fire-emitted pollutants on human health, and the development of novel protective technologies.",narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,TITLE: The Emission Characteristics and Health Risks of Firefighter-Accessed Fire: A Review The exacerbation of wildfires caused by global warming poses a significant threat to human health and environmental integrity.,PMID: 39453159,The Emission Characteristics and Health Risks of Firefighter-Accessed Fire: A Review.,medium,pending,
review-0014,review / perspective / research synthesis,narrative review,IMPACT OF REAL-LIFE ENVIRONMENTAL EXPROSURES ON REPRODUCTION: Adverse impacts of particulate matter air pollution on female and male reproduction.,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,This review discusses the scientific literature investigating the effects of ambient and experimentally generated PM mixtures on reproduction.,PMID: 39441766,IMPACT OF REAL-LIFE ENVIRONMENTAL EXPROSURES ON REPRODUCTION: Adverse impacts of particulate matter air pollution on female and male reproduction.,medium,pending,
review-0015,review / perspective / research synthesis,perspective,Developmental Toxicity of Fine Particulate Matter: Multifaceted Exploration from Epidemiological and Laboratory Perspectives.,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,perspective,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,This review includes the currently available epidemiological and laboratory evidence and comprehensively characterizes the adverse effects of particulate matter on developing individuals in different regions and various pollution sources.,PMID: 38668497,Developmental Toxicity of Fine Particulate Matter: Multifaceted Exploration from Epidemiological and Laboratory Perspectives.,medium,pending,
review-0016,review / perspective / research synthesis,narrative review / research synthesis,Respiratory Diseases Associated With Wildfire Exposure in Outdoor Workers.,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This review article examines the relationship between wildfires and respiratory diseases in outdoor workers, with a main focus on airway disease.",PMID: 38548173,Respiratory Diseases Associated With Wildfire Exposure in Outdoor Workers.,medium,pending,
review-0017,review / perspective / research synthesis,perspective,Avoidance of Inhaled Pollutants and Irritants in Asthma from a Salutogenic Perspective.,not specified in abstract,environment; clinical,not specified in abstract,not specified in abstract,not specified in abstract,perspective,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"Searches were carried out in the MEDLINE/PubMed, Web of Science, Lilacs and Scopus databases for articles considered relevant for the theoretical foundation of this integrative review, in which interactions between exposure to pollutants and inhaled irritants and lung involvement.",PMID: 38524100,Avoidance of Inhaled Pollutants and Irritants in Asthma from a Salutogenic Perspective.,medium,pending,
review-0018,review / perspective / research synthesis,systematic review,Prenatal air pollution exposure in relation to the telomere-mitochondrial axis of aging at birth: A systematic review.,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,systematic review,published literature; exact databases/search strategy not extracted from abstract,TITLE: Prenatal air pollution exposure in relation to the telomere-mitochondrial axis of aging at birth: A systematic review..,PMID: 38141917,Prenatal air pollution exposure in relation to the telomere-mitochondrial axis of aging at birth: A systematic review.,medium,pending,
review-0019,review / perspective / research synthesis,narrative review,An expert review of environmental heat exposure and stillbirth in the face of climate change: Clinical implications and priority issues.,not specified in abstract,environment; clinical; public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"Finally, we explore this topic from a public health perspective; we discuss and evaluate the current public health guidance on minimising the risk of extreme heat in the community.",PMID: 37501633,An expert review of environmental heat exposure and stillbirth in the face of climate change: Clinical implications and priority issues.,medium,pending,
review-0020,review / perspective / research synthesis,perspective,Climate Change Imperils Pediatric Health: Child Advocacy Through Fossil Fuel Divestment.,not specified in abstract,healthcare; industry,not specified in abstract,not specified in abstract,not specified in abstract,perspective,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,In this perspectives piece we review the principle of divestment as a strategy for improving childhood health.,PMID: 37396976,Climate Change Imperils Pediatric Health: Child Advocacy Through Fossil Fuel Divestment.,medium,pending,
review-0021,review / perspective / research synthesis,narrative review / research synthesis,Toxicity and health effects of ultrafine particles: Towards an understanding of the relative impacts of different transport modes.,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This literature review aims to summarize toxicological and epidemiological studies of the effect of ultrafine particles (UFPs), also called nanoparticles (NPs, <100 nm), from different transport modes with a focus on vehicle exhaust (particularly comparing diesel and biodiesel) and non-exhaust as well as particles from shipping (harbor), aviation (airport) and rail (mainly subway/underground).",PMID: 37224945,Toxicity and health effects of ultrafine particles: Towards an understanding of the relative impacts of different transport modes.,medium,pending,
review-0022,review / perspective / research synthesis,narrative review / research synthesis,"Overview of PM and health outcomes: Focusing on components, sources, and pollutant mixture co-exposure. 2.5",nervous system diseases,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"Furthermore, this review summarizes the synergistic effect of PM and other pollutants, which can be used to draft effective policies.",PMID: 36806809,"Overview of PM and health outcomes: Focusing on components, sources, and pollutant mixture co-exposure. 2.5",high,pending,
review-0023,review / perspective / research synthesis,narrative review / research synthesis,"Wildfire Smoke Exposure during Pregnancy: A Review of Potential Mechanisms of Placental Toxicity, Impact on Obstetric Outcomes, and Strategies to Reduce Exposure.",not specified in abstract,environment; clinical,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"We summarized the available clinical, animal, and placental studies with WS and other combustion products such as tobacco, diesel, and wood smoke.",PMID: 36360613,"Wildfire Smoke Exposure during Pregnancy: A Review of Potential Mechanisms of Placental Toxicity, Impact on Obstetric Outcomes, and Strategies to Reduce Exposure.",medium,pending,
review-0024,review / perspective / research synthesis,narrative review / research synthesis,Predisposed obesity and long-term metabolic diseases from maternal exposure to fine particulate matter (PM) - A review of its effect and potential mechanisms. 2.5,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In this review, we summarized the scientific evidence from both epidemiological and toxicological studies, which suggest that perinatal exposure to PM causes",PMID: 36228772,Predisposed obesity and long-term metabolic diseases from maternal exposure to fine particulate matter (PM) - A review of its effect and potential mechanisms. 2.5,medium,pending,
review-0025,review / perspective / research synthesis,narrative review / research synthesis,Climate change and cardiovascular disease: implications for global health.,not specified in abstract,public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In this Review, we aim to provide an overview of the consequences of climate change on cardiovascular health, which result from direct exposure pathways, such as shifts in ambient temperature, air pollution, forest fires, desert (dust and sand) storms and extreme weather events.",PMID: 35672485,Climate change and cardiovascular disease: implications for global health.,medium,pending,
review-0026,review / perspective / research synthesis,narrative review / research synthesis,Developmental programming: prenatal and postnatal consequences of hyperthermia in dairy cows and calves.,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This review examines the effects of prenatal and postnatal hyperthermia on the developmental outcomes of dairy cows, as well as the physiological and molecular mechanisms that may be responsible for the negative phenotypic consequences of heat stress that persist throughout the neonatal and adult periods and may have multigenerational implications.",PMID: 35339732,Developmental programming: prenatal and postnatal consequences of hyperthermia in dairy cows and calves.,medium,pending,
review-0027,review / perspective / research synthesis,narrative review / research synthesis,The Changing Climate and Pregnancy Health.,not specified in abstract,healthcare; environment; clinical; public health; education,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,This review summarizes recent literature regarding the impacts of climate change and related environmental disasters on pregnancy health and provides recommendations to inform future adaptation and mitigation efforts.,PMID: 35194749,The Changing Climate and Pregnancy Health.,medium,pending,
review-0028,review / perspective / research synthesis,narrative review / research synthesis,Health effects following exposure to dust from the World Trade Center disaster: An update.,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This review provides an overview of published WTC studies concerning FR/recovery workers' exposure and causal mechanisms of age-related disease susceptibility, specifically those involving the cardiopulmonary and neurological systems.",PMID: 34785191,Health effects following exposure to dust from the World Trade Center disaster: An update.,medium,pending,
review-0029,review / perspective / research synthesis,narrative review / research synthesis,The toxicity of ambient fine particulate matter (PM2.5) to vascular endothelial cells.,not specified in abstract,public health,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In this review, we summarize the toxicity of PM2.5 to VECs including the pathophysiological mechanism and the effects of VEC-mediated physiological functions.",PMID: 33496025,The toxicity of ambient fine particulate matter (PM2.5) to vascular endothelial cells.,medium,pending,
review-0030,review / perspective / research synthesis,systematic review,"Translocation of (ultra)fine particles and nanoparticles across the placenta; a systematic review on the evidence of in vitro, ex vivo, and in vivo studies.",not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,not specified in abstract,systematic review,published literature; exact databases/search strategy not extracted from abstract,"TITLE: Translocation of (ultra)fine particles and nanoparticles across the placenta; a systematic review on the evidence of in vitro, ex vivo, and in vivo studies Fetal development is a crucial window of susceptibility in which exposure may lead to detrimental health outcomes at birth and later in life.",PMID: 33138843,"Translocation of (ultra)fine particles and nanoparticles across the placenta; a systematic review on the evidence of in vitro, ex vivo, and in vivo studies.",medium,pending,
review-0031,review / perspective / research synthesis,narrative review,Exposure assessment of indoor particulate matter during pregnancy: a narrative review of the literature.,not specified in abstract,not specified in abstract,household variability; seasonal changes; spatiotemporal variability during pregnancy,"OUTLOOK: Given the limitations presented by these studies, exposure misclassification remains possible because of personal, within and between household variability, seasonal changes, and spatiotemporal variability during pregnancy.",not specified in abstract,narrative review,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,TITLE: Exposure assessment of indoor particulate matter during pregnancy: a narrative review of the literature..,PMID: 32598324,Exposure assessment of indoor particulate matter during pregnancy: a narrative review of the literature.,medium,pending,
review-0032,review / perspective / research synthesis,narrative review / research synthesis,Cardiovascular adaptations to particle inhalation exposure: molecular mechanisms of the toxicology.,not specified in abstract,environment; clinical,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In the current review, we aim to summarize the cellular and molecular mechanisms that are directly linked to cardiovascular health following exposure to a variety of inhaled toxicants.",PMID: 32559138,Cardiovascular adaptations to particle inhalation exposure: molecular mechanisms of the toxicology.,medium,pending,
review-0033,review / perspective / research synthesis,narrative review / research synthesis,Ambient air pollution and its influence on human health and welfare: an overview.,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"The overarching objective of this review is to explore the previous researches regarding the causes and sources of air pollution, how to control it and its detrimental effects on human health.",PMID: 32363462,Ambient air pollution and its influence on human health and welfare: an overview.,medium,pending,
review-0034,review / perspective / research synthesis,perspective,Biodiesel fuels: A greener diesel? A review from a health perspective.,not specified in abstract,environment; public health,not specified in abstract,not specified in abstract,not specified in abstract,perspective,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,A review from a health perspective Biodiesels have been promoted as a greener alternative to diesel with decreased emissions and health effects.,PMID: 31726536,Biodiesel fuels: A greener diesel? A review from a health perspective.,medium,pending,
review-0035,review / perspective / research synthesis,narrative review / research synthesis,"Low Levels of Air Pollution and Health: Effect Estimates, Methodological Challenges, and Future Directions.",not specified in abstract,public health,"However, there are certain methodological and interpretational limitations specific to studies of low PM levels, and further methodological development is warranted.","However, there are certain methodological and interpretational limitations specific to studies of low PM levels, and further methodological development is warranted.","Low Levels of Air Pollution and Health: Effect Estimates, Methodological Challenges, and Future Directions PURPOSE OF REVIEW: Fine particle (PM) levels have been decreasing in the USA over the past decades.",narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,2.5 2.5 RECENT FINDINGS: We reviewed 26 papers that examined the association between short- and long-term exposure to PM and cardio-respiratory morbidity and mortality.,PMID: 31090042,"Low Levels of Air Pollution and Health: Effect Estimates, Methodological Challenges, and Future Directions.",medium,pending,
review-0036,review / perspective / research synthesis,systematic review,Environmental Contaminants Exposure and Preterm Birth: A Systematic Review.,not specified in abstract,environment; clinical; public health,not specified in abstract,not specified in abstract,not specified in abstract,systematic review,published literature; exact databases/search strategy not extracted from abstract,"TITLE: Environmental Contaminants Exposure and Preterm Birth: A Systematic Review Preterm birth is an obstetric condition associated with a high risk of infant mortality and morbidities in both the neonatal period and later in life, which has also a significant public health impact because it carries an important societal economic burden.",PMID: 30832205,Environmental Contaminants Exposure and Preterm Birth: A Systematic Review.,medium,pending,
review-0037,review / perspective / research synthesis,narrative review / research synthesis,"Heat, Hydration and the Human Brain, Heart and Skeletal Muscles.",not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This review describes how dehydration differentially impacts physiological function during exercise requiring low compared to high functional demand, with an emphasis on the responses of the human brain, heart and skeletal muscles",PMID: 30671905,"Heat, Hydration and the Human Brain, Heart and Skeletal Muscles.",medium,pending,
review-0038,review / perspective / research synthesis,narrative review / research synthesis,Passive Heating: Reviewing Practical Heat Acclimation Strategies for Endurance Athletes.,not specified in abstract,environment,"Active strategies have been extensively reviewed, but have various practical and economic limitations.","Active strategies have been extensively reviewed, but have various practical and economic limitations.",not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,TITLE: Passive Heating: Reviewing Practical Heat Acclimation Strategies for Endurance Athletes Heat acclimation protocols-both active and passive-have been employed by athletes in an effort to attenuate the detrimental effects of heat stress on physical capacities and sports performance.,PMID: 30618849,Passive Heating: Reviewing Practical Heat Acclimation Strategies for Endurance Athletes.,medium,pending,
review-0039,review / perspective / research synthesis,technology review / perspective,"Diesel exhaust exposure, its multi-system effects, and the effect of new technology diesel exhaust.",not specified in abstract,industry; environment; environmental health,not specified in abstract,not specified in abstract,not specified in abstract,technology review / perspective,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In this review, we give an overview of the epidemiological evidence supporting the harmful effects of diesel exhaust, and the numerous animal studies conducted to investigate the specific pathophysiological mechanisms behind DE exposure.",PMID: 29524921,"Diesel exhaust exposure, its multi-system effects, and the effect of new technology diesel exhaust.",medium,pending,
review-0040,review / perspective / research synthesis,narrative review / research synthesis,Sports and environmental temperature: From warming-up to heating-up.,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"This review provides recommendations on how to build an effective warm-up following a 3 stage RAMP model (Raise, Activate and Mobilize, Potentiate), including general and context specific exercises, along with dynamic flexibility work.",PMID: 28944269,Sports and environmental temperature: From warming-up to heating-up.,medium,pending,
review-0041,review / perspective / research synthesis,narrative review / research synthesis,Cardiovascular adjustments to heat stress during prolonged exercise.,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,This review paper is focused on the mechanism of cardiovascular drift function during prolonged exercise in heat conditions.,PMID: 28181776,Cardiovascular adjustments to heat stress during prolonged exercise.,medium,pending,
review-0042,review / perspective / research synthesis,narrative review / research synthesis,"Haze, public health and mitigation measures in China: A review of the current evidence for further policy response.",not specified in abstract,transportation; industry; public health,not specified in abstract,"The purpose of this study is to describe the sources and formation of haze, summarize the mitigation measures in force, review the relationship between haze pollution and public health, and to discuss the challenges, potential research directions and policy options.",not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"We discuss the potential policy options for prevention, the need for wider public dialogue and the implications for scientific research.",PMID: 27842962,"Haze, public health and mitigation measures in China: A review of the current evidence for further policy response.",medium,pending,
review-0043,review / perspective / research synthesis,narrative review / research synthesis,Addressing Emerging Risks: Scientific and Regulatory Challenges Associated with Environmentally Persistent Free Radicals.,not specified in abstract,environment,not specified in abstract,not specified in abstract,not specified in abstract,narrative review / research synthesis,published literature / technological developments reviewed in the article; exact review methodology not stated in abstract,"In this review, we will outline the evidence to date supporting EPFR formation and its environmental significance.",PMID: 27338429,Addressing Emerging Risks: Scientific and Regulatory Challenges Associated with Environmentally Persistent Free Radicals.,medium,pending,
