id,evidence_type,population,comparator,predictor_or_exposure,health_outcome,study_design,effect_direction,effect_estimate,sample_size,population_size,study_period,data_source,recruitment_site,enrollment_site,study_site,statistical_methods,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
clin-0018,clinical / observational time-series study,daily CVD mortality records,not specified,Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality,cardiovascular disease mortality; cardiovascular mortality,time-series epidemiologic study,positive association,"Based on 5.9 million CVD death records, compound exposure was associated with an 11.5% increase in cardiovascular mortality (RR: 1.115; 95% CI: 1.100-1.130), exceeding risks for heat wave-only (RR: 1.083; 95% CI: 1.074-1.091) and SFAP-only exposure (RR: 1.014; 95% CI: 1.008-1.021).",not reported,not reported,not specified,not specified,not specified,not specified,not specified,Poisson regression,"Based on 5.9 million CVD death records, compound exposure was associated with an 11.5% increase in cardiovascular mortality (RR: 1.115; 95% CI: 1.100-1.130), exceeding risks for heat wave-only (RR: 1.083; 95% CI: 1.074-1.091) and SFAP-only exposure (RR: 1.014; 95% CI: 1.008-1.021).",PMID: 42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality,medium,pending,
clin-0019,retrospective clinical / observational study,patients,not specified,strategies remain to be clarified,mortality,retrospective observational study,positive association,"HS rats exhibited increased susceptibility to ventricular arrhythmias (VAs), manifested by prolonged action potential duration (APD), increased Ca transient duration (CaTD) and Ca alternans ratio, and slowed conduction velocity (CV), which were linked to disrupted Ca handling.",not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"HS rats exhibited increased susceptibility to ventricular arrhythmias (VAs), manifested by prolonged action potential duration (APD), increased Ca transient duration (CaTD) and Ca alternans ratio, and slowed conduction velocity (CV), which were linked to disrupted Ca handling.",PMID: 42521043,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction,medium,pending,
clin-0020,clinical epidemiology cohort,5528 participants undergoing coronary computed tomography angiography,not specified,clinical predictors / cohort factors,coronary inflammation / pericoronary fat attenuation index; diabetes; hypertension,retrospective cohort study with longitudinal subcohort,positive association,not extracted,5528 participants; 656 longitudinal subcohort,not reported,1987,not specified,not specified,not specified,not specified,linear mixed-effects models; generalized additive models,"We analyzed 5528 participants undergoing coronary computed tomography angiography (CCTA), including a longitudinal subcohort of 656 individuals with serial scans.",PMID: 42520874,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index,medium,pending,
clin-0021,clinical / observational study,participants from the Study of Women's Health Across the Nation from 1999 to 2000 to 2015 to 2016,not specified,primary study factor described in the abstract,cardiovascular; immune/inflammation; hypertension,cohort study,null / no clear association,"For hs-CRP, per doubling of PFAS ranged from 3.59% (95% CI: 0.01%-7.30%) for branched perfluorooctane sulfonic acid isomers to 5.32% (95% CI: 1.67%-9.10%) for 2-(N-methyl-perfluorooctane sulfonamido) acetic acid.","1,387 participants","1,387 participants",1999-2000,not specified,not specified,not specified,not specified,linear mixed-effects models,"For hs-CRP, per doubling of PFAS ranged from 3.59% (95% CI: 0.01%-7.30%) for branched perfluorooctane sulfonic acid isomers to 5.32% (95% CI: 1.67%-9.10%) for 2-(N-methyl-perfluorooctane sulfonamido) acetic acid.",PMID: 42520653,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation",high,pending,
clin-0022,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,"kidney molecular, vascular, inflammatory, and metabolic markers",clinical trial / intervention study,intervention effect evaluated,not extracted,not reported,not reported,2021,not specified,not specified,not specified,not specified,logistic regression; case-crossover analysis,The final cohort included 26 158 patients (mean age 79 ± 9.0 years) with established AF.,PMID: 42500877,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation,medium,pending,
clin-0023,clinical / observational time-series study,"adult cardiovascular disease (CVD) (ages 40+), and older adult respiratory causes (ages 65+)",seasonal/time-of-year patterns,temperature (seasonal context),cardiovascular; asthma; respiratory,time-series epidemiologic study,positive association,NO-attributable burden was higher than PM burden for asthma and CVD outcomes.,not reported,not reported,2005-2019,not specified,not specified,not specified,not specified,"adjustment for seasonal trends, day of week, holidays, and concurrent and delayed temperature",NO-attributable burden was higher than PM burden for asthma and CVD outcomes.,PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City,medium,pending,
clin-0024,clinical / observational study,pregnant women/infants,not specified,"nitrogen dioxide (NO2), particulate matter ≤2",thyroid,observational study,positive association,"Personal PM was positively associated with TT4 (β = 2.3%; 95% confidence interval [CI] = 0.4%, 4.2%, per doubling of exposure) and FT4 (β = 1.9%; 95% CI = -0.3%, 4.2%).",not reported,not reported,2014-2017,SEPAGES cohort,not specified,not specified,SEPAGES cohort,not extracted,"Personal PM was positively associated with TT4 (β = 2.3%; 95% confidence interval [CI] = 0.4%, 4.2%, per doubling of exposure) and FT4 (β = 1.9%; 95% CI = -0.3%, 4.2%).",PMID: 42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women,medium,pending,
clin-0025,clinical / observational time-series study,older adults,not specified,"apparent low temperature and PM significantly increases the risk of cardiovascular emergency ambulance calls, with complex lagged and heterogeneous effects",cardiovascular; hypertension,time-series epidemiologic study,positive association,"Most joint exposure scenarios further elevated risks, with the strongest cumulative effect observed under the P1T3 scenario ( = 1.146, 95% CI: 1.088-1.207).",not reported,not reported,2014-2023,not specified,not specified,not specified,not specified,not extracted,"Apparent low temperature was significantly associated with increased risk of cardiovascular EACs, with delayed effects.",PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China.",medium,pending,
clin-0026,clinical epidemiology cohort,children,not specified,clinical predictors / cohort factors,asthma,retrospective EHR-based cohort study,positive association,OR: 1.15,not reported,not reported,2011-2016,electronic health records,not specified,not specified,"Philadelphia, PA",logistic regression,Exacerbations were identified using electronic health records from the Children's Hospital of Philadelphia.,PMID: 42474428,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves,high,pending,
clin-0027,pharmacy education / simulation evaluation study,cohort participants,not specified,evaluator type: standardized patient evaluator vs pharmacist evaluator,kidney vascular markers,education / simulation evaluation study,agreement/disagreement comparison,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,"GenX, a replacement for legacy pollutants, is now a widespread contaminant.",PMID: 42472615,Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics,medium,pending,
clin-0028,clinical / observational study,pregnant women/infants,seasonal/time-of-year patterns,"We utilized a novel approach to estimate and characterize wildland fire smoke PM in Reno, Nevada, USA, an area prone to seasonal smoke from wildland fires.",maternal blood pressure,observational study,not extracted,not extracted,not reported,not reported,2012-2019,medical / chart records,not specified,not specified,not specified,regression models,"We utilized a novel approach to estimate and characterize wildland fire smoke PM in Reno, Nevada, USA, an area prone to seasonal smoke from wildland fires.",PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure.,medium,pending,
clin-0029,clinical / observational study,study participants,not specified,primary study factor described in the abstract,cardiovascular,case-crossover study,positive association,"Heat (relative risk, 1.04 [95% CI, 1.02-1.06]; 99th versus 80th percentile); and PM (relative risk, 1.02 per 10 μg/m [95% CI, 1.01-1.03]) were independently associated with increased OHCA risk.",not reported,not reported,2012-2019,All-Japan Utstein Registry,not specified,not specified,not specified,generalized additive quasi-Poisson models,"Heat (relative risk, 1.04 [95% CI, 1.02-1.06]; 99th versus 80th percentile); and PM (relative risk, 1.02 per 10 μg/m [95% CI, 1.01-1.03]) were independently associated with increased OHCA risk.",PMID: 42466507,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study,medium,pending,
clin-0030,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,mortality,clinical trial / intervention study,biological effect observed,not extracted,not reported,not reported,2012-2021,"European sites, establishing robust elemental ratios for transported dust. Using this database",not specified,not specified,"European sites, establishing robust elemental ratios for transported dust. Using this database",machine learning models,"Desert dust outbreaks degrade air quality and can pose adverse health effects, including asthma exacerbation and increased mortality.",PMID: 42457993,Rising dust pollution across Europe in a changing climate,medium,pending,
clin-0031,clinical epidemiology cohort,cohort participants,not specified,clinical predictors / cohort factors,mortality,prospective cohort study,positive association,not extracted,"1,771 events",not reported,2003-2019,national cohort,not specified,not specified,national cohort,Cox proportional hazards models; machine learning models,"During a median follow-up of 11.08 years (1,230,732 person-years), 3,500 incident cases of coronary heart disease, including 1,771 AMI events, and 1,321 coronary heart disease deaths, including 808 AMI deaths, were recorded.",PMID: 42455100,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China.,medium,pending,
clin-0032,retrospective clinical / observational study,"patients based on their municipality of residence or, for time-varying factors, using the nearest monitoring station",not specified,Associations between environmental and socioeconomic exposures and exacerbation risk were evaluated using univariate conditional logistic regression.,mortality; asthma,retrospective observational study,positive association,"Poverty emerged as the primary factor driving higher healthcare costs, with annual incremental costs of €21.5 million for COPD (PAF 4.92%) and €9.5 million for asthma (PAF 18.83%).",not reported,not reported,2018-2022,French National Hospital Discharge PMSI database,not specified,not specified,French National Hospital Discharge PMSI database,logistic regression,"Poverty emerged as the primary factor driving higher healthcare costs, with annual incremental costs of €21.5 million for COPD (PAF 4.92%) and €9.5 million for asthma (PAF 18.83%).",PMID: 42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France,medium,pending,
clin-0033,cross-sectional clinical / observational study,"patients undergoing coronary angiography for suspected CAD, stratified into: ST-segment elevation myocardial infarction (STEMI, n = 19), chronic coronary syndromes (CCS, n = 20), and controls with normal coronary arteries (n = 22)",not specified,"The present study aimed to evaluate the burden of MNPs in coronary blood across the spectrum of coronary artery disease (CAD), and their association with air pollution exposure and inflammation..",cardiovascular; immune/inflammation,cross-sectional analysis,positive association,"MNPs were detected significantly more frequently in STEMI patients (84.2%) than in CCS (40%) and controls (31.8%) (P = .002), with higher concentration and greater polymer diversity [median of 3 polymers (interquartile range: 2-4), P < .001].",61 patients,61 patients,not specified,not specified,not specified,not specified,not specified,not extracted,"MNPs were detected significantly more frequently in STEMI patients (84.2%) than in CCS (40%) and controls (31.8%) (P = .002), with higher concentration and greater polymer diversity [median of 3 polymers (interquartile range: 2-4), P < .001].",PMID: 42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation,medium,pending,
clin-0034,cross-sectional clinical / observational study,"27,783 mother-child pairs from mother-child cohorts",not specified,"climate risks, epidemiological evidence linking temperature and rainfall to maternal and child health remains limited",maternal/child health,cross-sectional analysis,positive association,"Higher temperatures were associated with increased odds of stunting (aOR 1.12, 95% CI 1.04-1.22), wasting (aOR 1.15, 95% CI 1.02-1.29), underweight (aOR 1.12, 95% CI 1.04-1.21), and fever (aOR 1.08, 95% CI 1.01-1.16) in children.","27,783 mother-child pairs","27,783 mother-child pairs",2020-2024,not specified,not specified,not specified,not specified,regression models,"Higher temperatures were associated with increased odds of stunting (aOR 1.12, 95% CI 1.04-1.22), wasting (aOR 1.15, 95% CI 1.02-1.29), underweight (aOR 1.12, 95% CI 1.04-1.21), and fever (aOR 1.08, 95% CI 1.01-1.16) in children.",PMID: 42445923,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study",high,pending,
clin-0035,clinical / observational study,"participants were recruited exclusively from the Xinyang Central Hospital, and covariates were ascertained through structured clinical interviews",not specified,fine particulate matter and autism spectrum disorder in children: population based case-control study,autism spectrum disorder,case-control study,positive association,"Positive associations were observed between PM and ASD (OR = 5.197, 95% CI: 3.294-8.200), and between , , , BC, and OM and ASD.",not reported,not reported,not specified,not specified,not specified,not specified,not specified,logistic regression,"Positive associations were observed between PM and ASD (OR = 5.197, 95% CI: 3.294-8.200), and between , , , BC, and OM and ASD.",PMID: 42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study,medium,pending,
clin-0036,prospective clinical / observational study,pregnant women/infants,not specified,primary study factor described in the abstract,folate status,prospective observational study,positive association,"In the third but not the first trimester, the mixture was positively associated with plasma total folate [12.0 nmol/L per one-quartile increase, 95% confidence interval (CI): 1.5, 22.7 nmol/L], negatively associated with %5MTHF (-2.8, 95% CI: -5.1, -0.70), and positively associated with %UMFA (13.4, 95% CI: 4.4, 23.0).",not reported,not reported,2008-2011,not specified,not specified,not specified,not specified,weighted quantile sum regression,"In the third but not the first trimester, the mixture was positively associated with plasma total folate [12.0 nmol/L per one-quartile increase, 95% confidence interval (CI): 1.5, 22.7 nmol/L], negatively associated with %5MTHF (-2.8, 95% CI: -5.1, -0.70), and positively associated with %UMFA (13.4, 95% CI: 4.4, 23.0).",PMID: 42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011",medium,pending,
clin-0037,clinical / observational study,"children's autism-related traits using the Social Responsiveness Scale (SRS) (mean age 9.4 years, SD = 3.6) and reported physician-diagnosed ASD",not specified,low-level air pollution and child autism spectrum disorder (ASD) is unclear,autism spectrum disorder; autism-related traits,meta-analysis,positive association,"Higher PM was associated with higher SRS scores at the 10th quantile (β = 0.74, 95% CI: 0.09, 1.40) but not at the median or highest quantile.","8,035 mother-child pairs","8,035 mother-child pairs",not specified,not specified,not specified,not specified,not specified,logistic regression; quantile regression; meta-analysis,"Higher PM was associated with higher SRS scores at the 10th quantile (β = 0.74, 95% CI: 0.09, 1.40) but not at the median or highest quantile.",PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium,high,pending,
clin-0038,clinical / observational study,pregnant women/infants,not specified,"ambient air pollution increases the risk of stillbirth, but few studies conducted in the United States have evaluated temporally varying exposures or susceptibility across gestatio",clinical / health outcome described in the abstract,case-control study,null / no clear association,"Particulate matter showed strong associations in the second trimester exposure window for all stillbirths (PM: HR = 1.07; 95% confidence interval [CI] = 1.04, 1.11; PM: HR = 1.05; 95% CI = 1.01, 1.09).",38 births,38 births,2005-2014,not specified,not specified,not specified,"Georgia, USA",Cox proportional hazards models,"Particulate matter showed strong associations in the second trimester exposure window for all stillbirths (PM: HR = 1.07; 95% confidence interval [CI] = 1.04, 1.11; PM: HR = 1.05; 95% CI = 1.01, 1.09).",PMID: 42422320,"Maternal ambient air pollution exposure and risk of stillbirth in Georgia, USA",high,pending,
clin-0039,clinical trial / intervention study,cohort participants,not specified,trial intervention / treatment exposure,not extracted,randomized clinical trial,intervention effect evaluated,not extracted,not reported,not reported,not specified,not specified,not specified,not specified,not specified,not extracted,Thirty devices were successfully deployed and returned; all but five provided sufficient data for analysis for getting a multi-day exposure estimates defined as more than 6 consecutive days of data) for analysis.,PMID: 42420937,Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City,low,pending,
clin-0040,clinical / observational study,pregnant women/infants/children,not specified,"both legacy PFASs (PFOS, PFDA, PFNA, PFDoDA, PFUnDA, and PFHpS) and novel PFAS (6:2 Cl-PFESA) was associated with lower FT levels, while PFMOAA was positively associated with TSH l",thyroid,observational study,positive association,"PFOS, PFDA, PFNA, PFUnDA, and PFHpS were negatively associated with FT and positively associated with the FT/FT ratio (all P < 0.05).",911 women,911 women,not specified,a birth cohort,not specified,not specified,a birth cohort,linear regression; quantile regression; Bayesian kernel machine regression; quantile g-computation,"The novel PFMOAA showed positive associations with TSH (β = 0.162; 95% CI: 0.069, 0.255) and the TSH/FT ratio (β = 0.006; 95% CI: 0.0002, 0.011).",PMID: 42420917,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status,high,pending,
