article_id,title,citation,publication_year,exposures,outcomes,datasets,geospatial_datasets,cohorts,study_designs,populations,effect_direction,sample_size,population_size,statistical_methods,knowledge_text_source,abstract_available,feature_count,record_index,cluster_id,priority_score,pca_x,pca_y,umap_x,umap_y,top_features
PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,PMID: 42595030,2026,PM2.5,cardiovascular; hypertension,,,,cohort; cross-sectional,adults; rural,positive,1833 adults,not reported,logistic regression,abstract_only,yes,65,11,10,0.3146,-0.5021,-0.083,,,exposure:pm2_5; outcome:cardiovascular; outcome:hypertension; population:adults; population:rural; study_design:cohort; study_design:cross_sectional
PMID: 42594972,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats.,PMID: 42594972,2026,particulate matter,pregnancy,,,,,maternal; pregnancy; pregnant,positive,not reported,not reported,not extracted,abstract_only,yes,79,12,2,0.2067,0.8513,-0.5071,,,exposure:particulate_matter; outcome:pregnancy; population:maternal; population:pregnancy; population:pregnant
PMID: 42588124,Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review.,PMID: 42588124,2026,heat/temperature,cardiovascular,,,,narrative review,adults; children; older adults; pregnant; pregnant women; women; workers,unclear,not reported,not reported,not extracted,abstract_only,yes,123,13,1,0.2433,-0.7526,0.8067,,,exposure:heat_temperature; outcome:cardiovascular; population:adults; population:children; population:older_adults; population:pregnant; population:pregnant_women; population:women; population:workers; study_design:narrative_review
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,PMID: 42551848,2026,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy,,,,,men; pregnancy,positive,1223 cycles,not reported,linear mixed models,abstract_only,yes,93,14,2,0.2124,0.5773,-1.0,,,exposure:nitrogen_dioxide_no2; exposure:ozone_o3; exposure:particulate_matter; exposure:pm2_5; outcome:pregnancy; population:men; population:pregnancy
PMID: 42570382,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors.,PMID: 42570382,2026,heat/temperature,pregnancy,,,,cross-sectional,maternal; pregnancy; pregnant; pregnant women; women,mixed,474 women,not reported,not extracted,abstract_only,yes,81,15,6,0.2103,0.4757,0.7944,,,exposure:heat_temperature; outcome:pregnancy; population:maternal; population:pregnancy; population:pregnant; population:pregnant_women; population:women; study_design:cross_sectional
PMID: 42568331,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis.,PMID: 42568331,2026,nitrogen dioxide (NO2); particulate matter,cardiovascular; hypertension,,,,cohort; meta-analysis; systematic review,adolescents; children,positive,"990,157 participants",not reported,meta-analysis,abstract_only,yes,78,16,18,0.3033,-0.3443,-0.5472,,,exposure:nitrogen_dioxide_no2; exposure:particulate_matter; outcome:cardiovascular; outcome:hypertension; population:adolescents; population:children; study_design:cohort; study_design:meta_analysis; study_design:systematic_review
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",PMID: 42565432,2026,air pollution; particulate matter,asthma; respiratory,,,,retrospective,,positive,not reported,not reported,not extracted,abstract_only,yes,94,17,7,0.1918,-0.3222,-0.9928,,,exposure:air_pollution; exposure:particulate_matter; outcome:asthma; outcome:respiratory; study_design:retrospective
PMID: 42551796,Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,PMID: 42551796,2026,PFAS; PFOA; PFOS,hypertension; pregnancy,,,,cohort,maternal; pregnancy; women,null,548,not reported,multivariable linear regression; adjusted logistic regression; linear mixed models; generalized additive models,abstract_only,yes,86,18,4,0.6052,0.6796,0.9623,,,exposure:pfas; exposure:pfoa; exposure:pfos; outcome:hypertension; outcome:pregnancy; population:maternal; population:pregnancy; population:women; study_design:cohort
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,PMID: 42557995,2026,heat/temperature; particulate matter,cardiovascular; respiratory,Medicare,,,cross-sectional,,positive,not reported,not reported,not extracted,abstract_only,yes,79,19,1,0.3606,-0.7493,-0.291,,,dataset:medicare; exposure:heat_temperature; exposure:particulate_matter; outcome:cardiovascular; outcome:respiratory; study_design:cross_sectional
PMID: 42544117,Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina.,PMID: 42544117,2026,,pregnancy,,,,,maternal; pregnancy,unclear,not reported,not reported,not extracted,abstract_only,yes,79,20,6,0.2532,1.0,0.417,,,outcome:pregnancy; population:maternal; population:pregnancy
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,PMID: 42540534,2026,air pollution; particulate matter,asthma; respiratory,,,,,children; rural; urban,positive,not reported,not reported,not extracted,abstract_only,yes,99,21,7,0.1918,-0.3214,-0.9427,,,exposure:air_pollution; exposure:particulate_matter; outcome:asthma; outcome:respiratory; population:children; population:rural; population:urban
PMID: 42538170,Household incense burning and small for gestational age risk in newborn infants.,PMID: 42538170,2026,particulate matter,pregnancy; preterm birth,,,,cohort,birth cohort; infants; maternal; pregnancy,positive,"18,666 mother-infant pairs",not reported,logistic regression,abstract_only,yes,79,22,2,0.2499,0.7332,-0.4523,,,exposure:particulate_matter; outcome:pregnancy; outcome:preterm_birth; population:birth_cohort; population:infants; population:maternal; population:pregnancy; study_design:cohort
PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,PMID: 42534890,2026,PFAS; PFOA; PFOS,immune; thyroid,,,,,,unclear,not reported,not reported,not extracted,abstract_only,yes,93,23,4,0.3395,0.275,1.0,,,exposure:pfas; exposure:pfoa; exposure:pfos; outcome:immune; outcome:thyroid
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,PMID: 42529083,2026,nitrogen dioxide (NO2); heat/temperature; particulate matter,asthma; respiratory,,,,cohort; retrospective,children,positive,936 children,not reported,logistic regression,abstract_only,yes,91,24,9,0.2793,-0.326,-0.6686,,,exposure:heat_temperature; exposure:nitrogen_dioxide_no2; exposure:particulate_matter; outcome:asthma; outcome:respiratory; population:children; study_design:cohort; study_design:retrospective
PMID: 42529026,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China.",PMID: 42529026,2026,nitrogen dioxide (NO2); heat/temperature,cardiovascular; mortality,,,,time-series,adults; older adults,positive,"87,913 deaths",not reported,generalized additive quasi-Poisson models,abstract_only,yes,92,25,12,0.2913,-0.7995,0.2909,,,exposure:heat_temperature; exposure:nitrogen_dioxide_no2; outcome:cardiovascular; outcome:mortality; population:adults; population:older_adults; study_design:time_series
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",PMID: 42528898,2026,heat/temperature,cardiovascular; hypertension,,,,,,unclear,not reported,not reported,not extracted,abstract_only,yes,92,26,1,0.2147,-0.8843,0.7707,,,exposure:heat_temperature; outcome:cardiovascular; outcome:hypertension
PMID: 42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality.,PMID: 42524808,2026,heat/temperature; air pollution,cardiovascular; heart disease; mortality,,,,time-series,,positive,not reported,not reported,Poisson regression,abstract_only,yes,86,27,1,0.2439,-0.9455,0.2697,,,exposure:air_pollution; exposure:heat_temperature; outcome:cardiovascular; outcome:heart_disease; outcome:mortality; study_design:time_series
PMID: 42524806,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health.,PMID: 42524806,2026,,,,,,,,unclear,not reported,not reported,not extracted,abstract_only,no,3,28,13,0.165,-0.0635,0.3637,,,
PMID: 42521043,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction.,PMID: 42521043,2026,heat/temperature,mortality,,,,in vitro,,positive,not reported,not reported,not extracted,abstract_only,yes,85,29,12,0.2981,-0.548,0.488,,,exposure:heat_temperature; outcome:mortality; study_design:in_vitro
PMID: 42520874,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index.,PMID: 42520874,2026,PM2.5; PM10; black carbon; particulate matter,cardiovascular; diabetes; hypertension; inflammation,,,,cohort; retrospective,,positive,5528 participants; 656 longitudinal subcohort,not reported,linear mixed-effects models; generalized additive models,abstract_only,yes,94,30,10,0.3146,-0.2936,-0.5476,,,exposure:black_carbon; exposure:particulate_matter; exposure:pm10; exposure:pm2_5; outcome:cardiovascular; outcome:diabetes; outcome:hypertension; outcome:inflammation; study_design:cohort; study_design:retrospective
PMID: 42520868,Maternal exposure to particulate matter during pregnancy and offspring liver function.,PMID: 42520868,2026,air pollution; particulate matter,liver; pregnancy,,,,cohort,birth cohort; children; maternal; pregnancy,positive,not reported,not reported,linear regression,abstract_only,yes,76,31,2,0.2356,0.5231,-0.5097,,,exposure:air_pollution; exposure:particulate_matter; outcome:liver; outcome:pregnancy; population:birth_cohort; population:children; population:maternal; population:pregnancy; study_design:cohort
PMID: 42520653,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation.",PMID: 42520653,2026,PFAS,cardiovascular; hypertension; inflammation,,,,,women,null,"1,387 participants",not reported,linear mixed-effects models,abstract_only,yes,74,32,5,0.6268,-0.4358,0.7505,,,exposure:pfas; outcome:cardiovascular; outcome:hypertension; outcome:inflammation; population:women
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,PMID: 42512137,2026,heat/temperature,pregnancy,,,,cross-sectional,pregnancy; pregnant,positive,195 individuals,not reported,not extracted,abstract_only,yes,73,33,6,0.4603,0.3584,0.666,,,exposure:heat_temperature; outcome:pregnancy; population:pregnancy; population:pregnant; study_design:cross_sectional
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,PMID: 42508048,2026,PM2.5; PM10; nitrogen dioxide (NO2); ozone (O3); particulate matter,cardiovascular; heart disease; inflammation; mortality; oxidative stress; respiratory,,,,,children,positive,not reported,not reported,not extracted,abstract_only,yes,87,34,3,0.25,-0.4493,-0.9241,,,exposure:nitrogen_dioxide_no2; exposure:ozone_o3; exposure:particulate_matter; exposure:pm10; exposure:pm2_5; outcome:cardiovascular; outcome:heart_disease; outcome:inflammation; outcome:mortality; outcome:oxidative_stress; outcome:respiratory; population:children
PMID: 42503941,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment].,PMID: 42503941,2026,particulate matter,inflammation; neurodevelopment; oxidative stress; pregnancy,,,,animal,maternal; pregnancy,unclear,not reported,not reported,not extracted,abstract_only,yes,69,35,14,0.2959,0.5841,-0.363,,,exposure:particulate_matter; outcome:inflammation; outcome:neurodevelopment; outcome:oxidative_stress; outcome:pregnancy; population:maternal; population:pregnancy; study_design:animal
PMID: 42500877,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation.,PMID: 42500877,2026,PM2.5; nitrogen dioxide (NO2); ozone (O3); heat/temperature; particulate matter,cardiovascular,Medicare,,,cohort,,positive,not reported,not reported,logistic regression,abstract_only,yes,70,36,3,0.368,-0.4229,-0.6661,,,dataset:medicare; exposure:heat_temperature; exposure:nitrogen_dioxide_no2; exposure:ozone_o3; exposure:particulate_matter; exposure:pm2_5; outcome:cardiovascular; study_design:cohort
PMID: 42496250,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review.,PMID: 42496250,2026,heat/temperature,cardiovascular; immune; inflammation,,,,animal; narrative review,adults; men; older adults; urban; women,positive,not reported,not reported,not extracted,abstract_only,yes,101,37,1,0.2805,-0.6654,0.6695,,,exposure:heat_temperature; outcome:cardiovascular; outcome:immune; outcome:inflammation; population:adults; population:men; population:older_adults; population:urban; population:women; study_design:animal; study_design:narrative_review
PMID: 42492149,Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort.,PMID: 42492149,2026,black carbon; nitrogen dioxide (NO2); particulate matter,birth weight; oxidative stress; pregnancy,,,,cohort,maternal; pregnancy,positive,499 participants,not reported,not extracted,abstract_only,yes,68,38,14,0.3,0.6517,-0.5597,,,exposure:black_carbon; exposure:nitrogen_dioxide_no2; exposure:particulate_matter; outcome:birth_weight; outcome:oxidative_stress; outcome:pregnancy; population:maternal; population:pregnancy; study_design:cohort
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,PMID: 42488199,2026,nitrogen dioxide (NO2); ozone (O3); heat/temperature,asthma; cardiovascular; respiratory,,,,time-series,,unclear,not reported,not reported,not extracted,abstract_only,yes,81,39,19,0.2917,-0.7311,-0.023,,,exposure:heat_temperature; exposure:nitrogen_dioxide_no2; exposure:ozone_o3; outcome:asthma; outcome:cardiovascular; outcome:respiratory; study_design:time_series
PMID: 42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women.,PMID: 42488198,2026,nitrogen dioxide (NO2); particulate matter,pregnancy; thyroid,,,,cohort,maternal; pregnancy; pregnant; pregnant women; women,negative,not reported,not reported,not extracted,abstract_only,yes,70,40,2,0.5012,0.7535,-0.3354,,,exposure:nitrogen_dioxide_no2; exposure:particulate_matter; outcome:pregnancy; outcome:thyroid; population:maternal; population:pregnancy; population:pregnant; population:pregnant_women; population:women; study_design:cohort
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,PMID: 42484582,2026,,,,,,,,unclear,not reported,not reported,not extracted,abstract_only,no,3,41,13,0.165,-0.0635,0.3637,,,
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,PMID: 42483592,2026,particulate matter,cardiovascular,,,,case-crossover,,positive,"627,828 cases",not reported,not extracted,abstract_only,yes,72,42,3,0.2575,-0.5084,-0.6786,,,exposure:particulate_matter; outcome:cardiovascular; study_design:case_crossover
PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,PMID: 42483588,2026,PFAS; PFOA,birth weight; immune; pregnancy,,,,animal,maternal; pregnancy; pregnant,unclear,not reported,not reported,not extracted,abstract_only,yes,83,43,4,0.3338,0.7687,0.8835,,,exposure:pfas; exposure:pfoa; outcome:birth_weight; outcome:immune; outcome:pregnancy; population:maternal; population:pregnancy; population:pregnant; study_design:animal
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",PMID: 42483065,2026,heat/temperature; air pollution; particulate matter,cardiovascular; hypertension,,,,,adults; older adults,positive,not reported,not reported,not extracted,abstract_only,yes,73,44,1,0.2125,-0.7611,-0.1335,,,exposure:air_pollution; exposure:heat_temperature; exposure:particulate_matter; outcome:cardiovascular; outcome:hypertension; population:adults; population:older_adults
PMID: 42482688,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China.",PMID: 42482688,2026,PM2.5; nitrogen dioxide (NO2); ozone (O3); cadmium; particulate matter,cardiovascular; heart disease; mortality,,,,time-series,,positive,not reported,not reported,generalized linear models,abstract_only,yes,77,45,3,0.25,-0.3763,-0.8957,,,exposure:cadmium; exposure:nitrogen_dioxide_no2; exposure:ozone_o3; exposure:particulate_matter; exposure:pm2_5; outcome:cardiovascular; outcome:heart_disease; outcome:mortality; study_design:time_series
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,PMID: 42476417,2026,heat/temperature,cardiovascular,,,,,,unclear,not reported,not reported,not extracted,abstract_only,yes,26,46,1,0.2147,-0.9806,0.7905,,,exposure:heat_temperature; outcome:cardiovascular
PMID: 42474428,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves.,PMID: 42474428,2026,heat/temperature,asthma,,,,case-crossover,children,negative,not reported,not reported,logistic regression,abstract_only,yes,74,47,9,0.5453,-0.4619,0.3734,,,exposure:heat_temperature; outcome:asthma; population:children; study_design:case_crossover
PMID: 42472615,Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics.,PMID: 42472615,2026,PFAS,cardiovascular; heart disease,,,,in vitro,,positive,not reported,not reported,not extracted,abstract_only,yes,103,48,5,0.3722,-0.5447,0.5802,,,exposure:pfas; outcome:cardiovascular; outcome:heart_disease; study_design:in_vitro
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,PMID: 42471626,2026,PM2.5; particulate matter,pregnancy,,,,,maternal; pregnancy; pregnant,positive,not reported,not reported,linear regression,abstract_only,yes,99,49,2,0.2067,0.7528,-0.7787,,,exposure:particulate_matter; exposure:pm2_5; outcome:pregnancy; population:maternal; population:pregnancy; population:pregnant
PMID: 42466507,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study.,PMID: 42466507,2026,heat/temperature; air pollution; particulate matter,cardiovascular,,,,case-crossover,,positive,not reported,not reported,generalized additive quasi-Poisson models,abstract_only,yes,73,50,1,0.2125,-0.7551,-0.2671,,,exposure:air_pollution; exposure:heat_temperature; exposure:particulate_matter; outcome:cardiovascular; study_design:case_crossover
PMID: 42459959,Mechanistic insights into PM-induced cardiac fibrosis involving ERS/TXNIP/NLRP3-driven pyroptosis in multiple cell types. 2.5,PMID: 42459959,2026,PM2.5; particulate matter,cardiovascular; oxidative stress,,,,,,positive,not reported,not reported,not extracted,abstract_only,yes,70,51,3,0.268,-0.3622,-0.9018,,,exposure:particulate_matter; exposure:pm2_5; outcome:cardiovascular; outcome:oxidative_stress
PMID: 42455550,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023.",PMID: 42455550,2026,particulate matter,heart disease; mortality,,,,,general population,positive,not reported,not reported,not extracted,abstract_only,yes,86,52,11,0.256,-0.2005,-0.783,,,exposure:particulate_matter; outcome:heart_disease; outcome:mortality; population:general_population
PMID: 42455100,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China. 2.5,PMID: 42455100,2026,air pollution; particulate matter,cardiovascular; coronary heart disease; heart disease; mortality,,,,cohort; prospective,adults,positive,"1,771 events",not reported,Cox proportional hazards models; machine learning models,abstract_only,yes,93,53,8,0.2775,-0.5728,-0.5609,,,exposure:air_pollution; exposure:particulate_matter; outcome:cardiovascular; outcome:coronary_heart_disease; outcome:heart_disease; outcome:mortality; population:adults; study_design:cohort; study_design:prospective
PMID: 42450330,Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.,PMID: 42450330,2026,PFAS,cardiovascular; inflammation; oxidative stress,,,,narrative review,,positive,not reported,not reported,not extracted,abstract_only,yes,82,54,5,0.3768,-0.4349,0.5217,,,exposure:pfas; outcome:cardiovascular; outcome:inflammation; outcome:oxidative_stress; study_design:narrative_review
PMID: 42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France.,PMID: 42449303,2026,air pollution,asthma; mortality,,,,retrospective,,unclear,not reported,not reported,logistic regression,abstract_only,yes,97,55,20,0.3114,-0.399,-0.2175,,,exposure:air_pollution; outcome:asthma; outcome:mortality; study_design:retrospective
PMID: 42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation.,PMID: 42447841,2026,PM2.5; nanoplastics,cardiovascular; inflammation,,,,cross-sectional,,positive,61 patients,not reported,not extracted,abstract_only,yes,76,56,10,0.3184,-0.4884,-0.1223,,,exposure:nanoplastics; exposure:pm2_5; outcome:cardiovascular; outcome:inflammation; study_design:cross_sectional
PMID: 42445923,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study.",PMID: 42445923,2026,heat/temperature,,,,,,children; maternal; pregnant; pregnant women; women,positive,"27,783 mother-child pairs",not reported,not extracted,abstract_only,yes,78,57,21,0.2893,-0.2019,0.7276,,,exposure:heat_temperature; population:children; population:maternal; population:pregnant; population:pregnant_women; population:women
PMID: 42442744,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective.",PMID: 42442744,2026,PM2.5; particulate matter,cardiovascular; endocrine disruption; inflammation; mortality; oxidative stress; respiratory,Sentinel,,,,urban,unclear,not reported,not reported,not extracted,abstract_only,yes,98,58,3,0.3561,-0.4785,-0.7464,,,dataset:sentinel; exposure:particulate_matter; exposure:pm2_5; outcome:cardiovascular; outcome:endocrine_disruption; outcome:inflammation; outcome:mortality; outcome:oxidative_stress; outcome:respiratory; population:urban
PMID: 42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study.,PMID: 42440588,2026,PM2.5; black carbon; particulate matter,pregnancy,,,,,children; maternal; pregnancy,positive,not reported,not reported,logistic regression,abstract_only,yes,81,59,2,0.2179,0.6568,-0.7869,,,exposure:black_carbon; exposure:particulate_matter; exposure:pm2_5; outcome:pregnancy; population:children; population:maternal; population:pregnancy
PMID: 42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011.",PMID: 42437198,2026,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy,,,,cohort; prospective,maternal; pregnancy; pregnant; pregnant women; women,unclear,not reported,not reported,weighted quantile sum regression,abstract_only,yes,82,60,2,0.2124,0.6865,-0.7552,,,exposure:nitrogen_dioxide_no2; exposure:ozone_o3; exposure:particulate_matter; exposure:pm2_5; outcome:pregnancy; population:maternal; population:pregnancy; population:pregnant; population:pregnant_women; population:women; study_design:cohort; study_design:prospective
PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium.,PMID: 42428257,2026,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy,,,ECHO; Environmental influences on Child Health Outcomes,cohort; meta-analysis,children; pregnancy,mixed,"8,035 mother-child pairs",not reported,logistic regression; quantile regression; meta-analysis,abstract_only,yes,79,61,2,0.4186,0.5696,-0.8823,,,cohort:echo; cohort:environmental_influences_on_child_health_outcomes; exposure:nitrogen_dioxide_no2; exposure:ozone_o3; exposure:particulate_matter; exposure:pm2_5; outcome:pregnancy; population:children; population:pregnancy; study_design:cohort; study_design:meta_analysis
PMID: 42422320,"Maternal ambient air pollution exposure and risk of stillbirth in Georgia, USA.",PMID: 42422320,2026,air pollution; particulate matter,pregnancy,,,,case-control,maternal; pregnancy,positive,38 births,not reported,Cox proportional hazards models,abstract_only,yes,80,62,2,0.2356,0.5598,-0.6174,,,exposure:air_pollution; exposure:particulate_matter; outcome:pregnancy; population:maternal; population:pregnancy; study_design:case_control
PMID: 42420937,Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City.,PMID: 42420937,2026,,asthma; respiratory,,,,randomized,adults,positive,not reported,not reported,not extracted,abstract_only,yes,73,63,7,0.2795,-0.38,-0.2344,,,outcome:asthma; outcome:respiratory; population:adults; study_design:randomized
