id,title,citation,sample_size,population_size,statistical_methods,population,study_design,evidence_sentence,abstract_available
method-0058,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective",PMID: 42442744,not reported,not reported,not extracted,not specified,review/perspective,not extracted,yes; possibly incomplete
method-0059,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study,PMID: 42440588,not reported,not reported,logistic regression,pregnant women/infants/children,case-control study,"Statistical analysis was performed using SPSS, employing the chi-square test, rank-sum test, and binary logistic regression analysis.",yes
method-0060,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011",PMID: 42437198,not reported,not reported,weighted quantile sum regression,pregnant women/infants,prospective cohort study,We used Bayesian weighted quantile sum regression to estimate expected differences in folate measures per 1-quartile difference in the air pollution mixture and weights for the mixture components.,yes; possibly incomplete
method-0061,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium,PMID: 42428257,"8,035 mother-child pairs",not reported,logistic regression; quantile regression; meta-analysis,"8,035 mother-child pairs from mother-child cohorts",meta-analysis,"We analyzed data from 8,035 mother-child pairs from 44 United States cohorts in the Environmental influences on Child Health Outcomes (ECHO) Cohort.",yes; possibly incomplete
method-0062,"Maternal ambient air pollution exposure and risk of stillbirth in Georgia, USA",PMID: 42422320,38 births,not reported,Cox proportional hazards models,pregnant women/infants,case-control study,"Using Georgia vital records from 2005 to 2014, we conducted a matched case-control study including 8,384 stillbirths and 33,459 live birth controls matched on maternal county of residence and conception month.",yes; possibly incomplete
method-0063,Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City,PMID: 42420937,not reported,not reported,not extracted,not specified,placebo-controlled randomized trial,not extracted,yes
method-0064,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status,PMID: 42420917,911 women,not reported,linear regression; quantile regression; Bayesian kernel machine regression; quantile g-computation,pregnant women/infants,not specified,A total of 911 pregnant women from a birth cohort in Zhejiang Province were included.,yes
method-0065,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review,PMID: 42419777,not reported,not reported,not extracted,not specified,review/perspective,not extracted,yes
method-0066,Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study,PMID: 42416905,7400 adults,not reported,Cox proportional hazards models,older adults,cohort study,"Among 7400 adults with CKM syndrome stages 0-3, 1611 (21.8%) reported CVD events (1212 heart disease and 551 stroke) during a 7-years follow-up survey.",yes
method-0067,Causal effects of wildfire particulate matter on hospital costs and length of stay in Brazil.,PMID: 42414291,not reported,not reported,not extracted,not specified,case-crossover study,not extracted,yes
method-0068,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older,PMID: 42413509,not reported,not reported,not extracted,older adults,not specified,not extracted,yes; possibly incomplete
method-0069,Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial,PMID: 42410409,not reported,not reported,not extracted,pregnant women/infants,placebo-controlled randomized trial,not extracted,yes; possibly incomplete
method-0070,"Associations of short-, mid-, and long-term particulate matter exposure with elevated LDL-C levels in Korean adults: analysis of KNHANES 2016-2022",PMID: 42406176,"14,867 adults",not reported,logistic regression,workers,cross-sectional study,"We examined associations of short- (1-7 days), mid- (1-6 months), and long-term (1-5 years) PM and PM exposures with elevated LDL-C (≥ 160 mg/dL or medication use) in Korean adults.Methods In this cross-sectional analysis of 14,867 Korean adults from the 2016-2022 the Korea National Health and Nutrition Examination Survey (KNHANES), a nationally representative survey.",yes
method-0071,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study,PMID: 42403579,not reported,not reported,mixed-effects models; deep learning,pregnant women/infants,cohort study,"Furthermore, as a secondary objective, we will compare traditional statistical approaches with deep learning methods.",yes; possibly incomplete
