article_id,title,cluster_id,x,y,priority_score,exposures,outcomes
PMID: 42594972,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats.,2,,,0.2067,particulate matter,pregnancy
PMID: 42588124,Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review.,1,,,0.2433,heat/temperature,cardiovascular
PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,2,,,0.2124,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy
PMID: 42570382,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors.,6,,,0.2103,heat/temperature,pregnancy
PMID: 42568331,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis.,18,,,0.3033,nitrogen dioxide (NO2); particulate matter,cardiovascular; hypertension
PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",7,,,0.1918,air pollution; particulate matter,asthma; respiratory
PMID: 42551796,Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,4,,,0.6052,PFAS; PFOA; PFOS,hypertension; pregnancy
PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,1,,,0.3606,heat/temperature; particulate matter,cardiovascular; respiratory
PMID: 42544117,Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina.,6,,,0.2532,,pregnancy
PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,7,,,0.1918,air pollution; particulate matter,asthma; respiratory
PMID: 42538170,Household incense burning and small for gestational age risk in newborn infants.,2,,,0.2499,particulate matter,pregnancy; preterm birth
PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,4,,,0.3395,PFAS; PFOA; PFOS,immune; thyroid
PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,9,,,0.2793,nitrogen dioxide (NO2); heat/temperature; particulate matter,asthma; respiratory
PMID: 42529026,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China.",12,,,0.2913,nitrogen dioxide (NO2); heat/temperature,cardiovascular; mortality
PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",1,,,0.2147,heat/temperature,cardiovascular; hypertension
PMID: 42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality.,1,,,0.2439,heat/temperature; air pollution,cardiovascular; heart disease; mortality
PMID: 42524806,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health.,13,,,0.165,,
PMID: 42521043,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction.,12,,,0.2981,heat/temperature,mortality
PMID: 42520874,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index.,10,,,0.3146,PM2.5; PM10; black carbon; particulate matter,cardiovascular; diabetes; hypertension; inflammation
PMID: 42520868,Maternal exposure to particulate matter during pregnancy and offspring liver function.,2,,,0.2356,air pollution; particulate matter,liver; pregnancy
PMID: 42520653,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation.",5,,,0.6268,PFAS,cardiovascular; hypertension; inflammation
PMID: 42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,6,,,0.4603,heat/temperature,pregnancy
PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,3,,,0.25,PM2.5; PM10; nitrogen dioxide (NO2); ozone (O3); particulate matter,cardiovascular; heart disease; inflammation; mortality; oxidative stress; respiratory
PMID: 42503941,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment].,14,,,0.2959,particulate matter,inflammation; neurodevelopment; oxidative stress; pregnancy
PMID: 42500877,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation.,3,,,0.368,PM2.5; nitrogen dioxide (NO2); ozone (O3); heat/temperature; particulate matter,cardiovascular
PMID: 42496250,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review.,1,,,0.2805,heat/temperature,cardiovascular; immune; inflammation
PMID: 42492149,Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort.,14,,,0.3,black carbon; nitrogen dioxide (NO2); particulate matter,birth weight; oxidative stress; pregnancy
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,19,,,0.2917,nitrogen dioxide (NO2); ozone (O3); heat/temperature,asthma; cardiovascular; respiratory
PMID: 42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women.,2,,,0.5012,nitrogen dioxide (NO2); particulate matter,pregnancy; thyroid
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,13,,,0.165,,
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,3,,,0.2575,particulate matter,cardiovascular
PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,4,,,0.3338,PFAS; PFOA,birth weight; immune; pregnancy
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",1,,,0.2125,heat/temperature; air pollution; particulate matter,cardiovascular; hypertension
PMID: 42482688,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China.",3,,,0.25,PM2.5; nitrogen dioxide (NO2); ozone (O3); cadmium; particulate matter,cardiovascular; heart disease; mortality
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,1,,,0.2147,heat/temperature,cardiovascular
PMID: 42474428,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves.,9,,,0.5453,heat/temperature,asthma
PMID: 42472615,Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics.,5,,,0.3722,PFAS,cardiovascular; heart disease
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,2,,,0.2067,PM2.5; particulate matter,pregnancy
PMID: 42466507,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study.,1,,,0.2125,heat/temperature; air pollution; particulate matter,cardiovascular
PMID: 42459959,Mechanistic insights into PM-induced cardiac fibrosis involving ERS/TXNIP/NLRP3-driven pyroptosis in multiple cell types. 2.5,3,,,0.268,PM2.5; particulate matter,cardiovascular; oxidative stress
PMID: 42455550,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023.",11,,,0.256,particulate matter,heart disease; mortality
PMID: 42455100,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China. 2.5,8,,,0.2775,air pollution; particulate matter,cardiovascular; coronary heart disease; heart disease; mortality
PMID: 42450330,Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.,5,,,0.3768,PFAS,cardiovascular; inflammation; oxidative stress
PMID: 42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France.,20,,,0.3114,air pollution,asthma; mortality
PMID: 42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation.,10,,,0.3184,PM2.5; nanoplastics,cardiovascular; inflammation
PMID: 42445923,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study.",21,,,0.2893,heat/temperature,
PMID: 42442744,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective.",3,,,0.3561,PM2.5; particulate matter,cardiovascular; endocrine disruption; inflammation; mortality; oxidative stress; respiratory
PMID: 42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study.,2,,,0.2179,PM2.5; black carbon; particulate matter,pregnancy
PMID: 42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011.",2,,,0.2124,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy
PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium.,2,,,0.4186,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy
PMID: 42422320,"Maternal ambient air pollution exposure and risk of stillbirth in Georgia, USA.",2,,,0.2356,air pollution; particulate matter,pregnancy
PMID: 42420937,Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City.,7,,,0.2795,,asthma; respiratory
PMID: 42420917,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,4,,,0.4025,PFAS; PFOS,pregnancy; thyroid
PMID: 42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review.,7,,,0.3808,nitrogen dioxide (NO2); particulate matter,asthma; inflammation; oxidative stress; respiratory
PMID: 42416905,Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study.,8,,,0.2828,air pollution,cardiovascular; heart disease; kidney
PMID: 42414291,Causal effects of wildfire PM on hospital costs and length of stay in Brazil. 2.5,3,,,0.268,PM2.5; particulate matter,asthma; cardiovascular; respiratory
PMID: 42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older.,1,,,0.2253,heat/temperature; air pollution,cardiovascular; respiratory
PMID: 42410409,Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial.,6,,,0.2351,heat/temperature,pregnancy; preterm birth
PMID: 42406176,"Associations of short-, mid-, and long-term particulate matter exposure with elevated LDL-C levels in Korean adults: analysis of KNHANES 2016-2022.",22,,,0.2944,air pollution; particulate matter,
PMID: 42403579,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,23,,,0.323,nitrogen dioxide (NO2); ozone (O3); cadmium; lead; mercury; particulate matter,birth weight; mortality; pregnancy
