rank,article_id,title,cluster_id,priority_score,priority_level,review_reason,exposures,outcomes,sample_size,population_size,statistical_methods
11,PMID: 42450330,Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.,5,0.3768,medium,contains chemical or chemical-class signal,PFAS,cardiovascular; inflammation; oxidative stress,not reported,not reported,not extracted
12,PMID: 42600829,Integrated Computational and In Vivo Evidence Prioritizes MYH6 as a Candidate Node in PFOS-Associated HCM-like Cardiac Remodeling.,5,0.3722,medium,contains chemical or chemical-class signal,PFAS; PFOS,cardiovascular,not reported,not reported,not extracted
13,PMID: 42472615,Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics.,5,0.3722,medium,contains chemical or chemical-class signal,PFAS,cardiovascular; heart disease,not reported,not reported,not extracted
14,PMID: 42500877,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation.,3,0.368,medium,contains dataset/cohort/geospatial signal,PM2.5; nitrogen dioxide (NO2); ozone (O3); heat/temperature; particulate matter,cardiovascular,not reported,not reported,logistic regression
15,PMID: 42557995,The Impact of Heat and Bushfire Smoke on Health System Utilisation in Australia.,1,0.3606,medium,contains dataset/cohort/geospatial signal,heat/temperature; particulate matter,cardiovascular; respiratory,not reported,not reported,not extracted
16,PMID: 42442744,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective.",3,0.3561,medium,contains dataset/cohort/geospatial signal,PM2.5; particulate matter,cardiovascular; endocrine disruption; inflammation; mortality; oxidative stress; respiratory,not reported,not reported,not extracted
17,PMID: 42534890,Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,4,0.3395,medium,contains chemical or chemical-class signal,PFAS; PFOA; PFOS,immune; thyroid,not reported,not reported,not extracted
18,PMID: 42600302,Impairment of placental function and maternal-fetal immunity cross-talk by per- and polyfluoroalkyl substances during early pregnancy.,4,0.3338,medium,contains chemical or chemical-class signal,PFAS; PFOA; PFOS,immune; pregnancy,not reported,not reported,not extracted
19,PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,4,0.3338,medium,contains chemical or chemical-class signal,PFAS; PFOA,birth weight; immune; pregnancy,not reported,not reported,not extracted
20,PMID: 42403579,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,23,0.323,medium,novel compared with prior/cluster records,nitrogen dioxide (NO2); ozone (O3); cadmium; lead; mercury; particulate matter,birth weight; mortality; pregnancy,not reported,not reported,mixed-effects models; deep learning
21,PMID: 42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation.,10,0.3184,medium,novel compared with prior/cluster records,PM2.5; nanoplastics,cardiovascular; inflammation,61 patients,not reported,not extracted
22,PMID: 42623452,Respiratory and Cardiovascular Effects of Ozone Modified by PM2.5: Evidence from a Panel Study and a Meta-Regression Analysis.,15,0.3178,medium,novel compared with prior/cluster records,PM2.5; ozone (O3),,not reported,not reported,not extracted
23,PMID: 42595030,Association between long-term ambient PM. exposure and hypertension and metabolic syndrome among Ghanaian adults. 2 5,10,0.3146,medium,novel compared with prior/cluster records,PM2.5,cardiovascular; hypertension,1833 adults,not reported,logistic regression
24,PMID: 42520874,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index.,10,0.3146,medium,novel compared with prior/cluster records,PM2.5; PM10; black carbon; particulate matter,cardiovascular; diabetes; hypertension; inflammation,5528 participants; 656 longitudinal subcohort,not reported,linear mixed-effects models; generalized additive models
25,PMID: 42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France.,20,0.3114,medium,novel compared with prior/cluster records,air pollution,asthma; mortality,not reported,not reported,logistic regression
26,PMID: 42568331,Association between long-term exposure to air pollution and blood pressure in children: an updated systematic review and meta-analysis.,18,0.3033,medium,representative article in its cluster,nitrogen dioxide (NO2); particulate matter,cardiovascular; hypertension,"990,157 participants",not reported,meta-analysis
27,PMID: 42611483,Identification of Pro-Atherogenic Microenvironment-Associated Molecular Signatures in Response to Key Effective PM2.5 Constituents Using a Blood-Brain Barrier-Immune Microenvironment Platform.,16,0.3001,medium,representative article in its cluster,PM2.5; particulate matter,immune,not reported,not reported,not extracted
28,PMID: 42492149,Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort.,14,0.3,low,representative article in its cluster,black carbon; nitrogen dioxide (NO2); particulate matter,birth weight; oxidative stress; pregnancy,499 participants,not reported,not extracted
29,PMID: 42521043,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction.,12,0.2981,low,representative article in its cluster,heat/temperature,mortality,not reported,not reported,not extracted
30,PMID: 42503941,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment].,14,0.2959,low,representative article in its cluster,particulate matter,inflammation; neurodevelopment; oxidative stress; pregnancy,not reported,not reported,not extracted
31,PMID: 42406176,"Associations of short-, mid-, and long-term particulate matter exposure with elevated LDL-C levels in Korean adults: analysis of KNHANES 2016-2022.",22,0.2944,low,representative article in its cluster,air pollution; particulate matter,,"14,867 adults",not reported,logistic regression
32,PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,19,0.2917,low,representative article in its cluster,nitrogen dioxide (NO2); ozone (O3); heat/temperature,asthma; cardiovascular; respiratory,not reported,not reported,not extracted
33,PMID: 42529026,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China.",12,0.2913,low,representative article in its cluster,nitrogen dioxide (NO2); heat/temperature,cardiovascular; mortality,"87,913 deaths",not reported,generalized additive quasi-Poisson models
34,PMID: 42445923,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study.",21,0.2893,low,representative article in its cluster,heat/temperature,,"27,783 mother-child pairs",not reported,not extracted
35,PMID: 42416905,Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study.,8,0.2828,low,representative article in its cluster,air pollution,cardiovascular; heart disease; kidney,7400 adults,not reported,Cox proportional hazards models
36,PMID: 42496250,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review.,1,0.2805,low,representative article in its cluster,heat/temperature,cardiovascular; immune; inflammation,not reported,not reported,not extracted
37,PMID: 42420937,Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City.,7,0.2795,low,representative article in its cluster,,asthma; respiratory,not reported,not reported,not extracted
38,PMID: 42598180,Effect of ambient relative humidity and particulate matter on the levels of asthma therapy.,9,0.2793,low,representative article in its cluster,PM2.5; heat/temperature; particulate matter,asthma,288 patients,not reported,logistic regression
39,PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study.,9,0.2793,low,representative article in its cluster,nitrogen dioxide (NO2); heat/temperature; particulate matter,asthma; respiratory,936 children,not reported,logistic regression
40,PMID: 42455100,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China. 2.5,8,0.2775,low,representative article in its cluster,air pollution; particulate matter,cardiovascular; coronary heart disease; heart disease; mortality,"1,771 events",not reported,Cox proportional hazards models; machine learning models
41,PMID: 42603825,Short-term air pollution exposure and COVID-19 pneumonia in New York City: stronger associations among individuals with pre-existing cardiovascular conditions.,8,0.2775,low,representative article in its cluster,air pollution; particulate matter,cardiovascular; heart disease; respiratory,"15,361",not reported,Poisson regression
42,PMID: 42414291,Causal effects of wildfire PM on hospital costs and length of stay in Brazil. 2.5,3,0.268,low,representative article in its cluster,PM2.5; particulate matter,asthma; cardiovascular; respiratory,not reported,not reported,not extracted
43,PMID: 42459959,Mechanistic insights into PM-induced cardiac fibrosis involving ERS/TXNIP/NLRP3-driven pyroptosis in multiple cell types. 2.5,3,0.268,low,representative article in its cluster,PM2.5; particulate matter,cardiovascular; oxidative stress,not reported,not reported,not extracted
44,PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,3,0.2575,low,representative article in its cluster,particulate matter,cardiovascular,"627,828 cases",not reported,not extracted
45,PMID: 42455550,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023.",11,0.256,low,representative article in its cluster,particulate matter,heart disease; mortality,not reported,not reported,not extracted
46,PMID: 42595534,[Acute impact of combined exposure to cold spell and heavy pollution on circulatory disease mortality in the Beijing-Tianjin-Hebei Region and surrounding areas].,11,0.256,low,representative article in its cluster,PM2.5; heat/temperature; particulate matter,heart disease; mortality,not reported,not reported,meta-analysis
47,PMID: 42544117,Spatial analysis of environmental and socioeconomic factors impacting maternal and infant health outcomes in North Carolina.,6,0.2532,low,representative article in its cluster,,pregnancy,not reported,not reported,not extracted
48,PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data.,3,0.25,low,representative article in its cluster,PM2.5; PM10; nitrogen dioxide (NO2); ozone (O3); particulate matter,cardiovascular; heart disease; inflammation; mortality; oxidative stress; respiratory,not reported,not reported,not extracted
49,PMID: 42482688,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China.",3,0.25,low,representative article in its cluster,PM2.5; nitrogen dioxide (NO2); ozone (O3); cadmium; particulate matter,cardiovascular; heart disease; mortality,not reported,not reported,generalized linear models
50,PMID: 42538170,Household incense burning and small for gestational age risk in newborn infants.,2,0.2499,low,representative article in its cluster,particulate matter,pregnancy; preterm birth,"18,666 mother-infant pairs",not reported,logistic regression
51,PMID: 42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality.,1,0.2439,low,representative article in its cluster,heat/temperature; air pollution,cardiovascular; heart disease; mortality,not reported,not reported,Poisson regression
52,PMID: 42588124,Nutrition and Hydration Strategies for Heatwave Adaptation: A Narrative Review.,1,0.2433,low,representative article in its cluster,heat/temperature,cardiovascular,not reported,not reported,not extracted
53,PMID: 42422320,"Maternal ambient air pollution exposure and risk of stillbirth in Georgia, USA.",2,0.2356,low,representative article in its cluster,air pollution; particulate matter,pregnancy,38 births,not reported,Cox proportional hazards models
54,PMID: 42520868,Maternal exposure to particulate matter during pregnancy and offspring liver function.,2,0.2356,low,representative article in its cluster,air pollution; particulate matter,liver; pregnancy,not reported,not reported,linear regression
55,PMID: 42410409,Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial.,6,0.2351,low,representative article in its cluster,heat/temperature,pregnancy; preterm birth,not reported,not reported,not extracted
56,PMID: 42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older.,1,0.2253,low,representative article in its cluster,heat/temperature; air pollution,cardiovascular; respiratory,not reported,not reported,not extracted
57,PMID: 42607263,Climate-Smart Health Care: Role of the Family Physician.,1,0.2253,low,representative article in its cluster,heat/temperature; air pollution,cardiovascular; mortality; respiratory,not reported,not reported,not extracted
58,PMID: 42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study.,2,0.2179,low,representative article in its cluster,PM2.5; black carbon; particulate matter,pregnancy,not reported,not reported,logistic regression
59,PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA.",1,0.2147,low,representative article in its cluster,heat/temperature,cardiovascular; hypertension,not reported,not reported,not extracted
60,PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,1,0.2147,low,representative article in its cluster,heat/temperature,cardiovascular,not reported,not reported,not extracted
61,PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",1,0.2125,low,representative article in its cluster,heat/temperature; air pollution; particulate matter,cardiovascular; hypertension,not reported,not reported,not extracted
62,PMID: 42466507,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study.,1,0.2125,low,representative article in its cluster,heat/temperature; air pollution; particulate matter,cardiovascular,not reported,not reported,generalized additive quasi-Poisson models
63,PMID: 42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011.",2,0.2124,low,representative article in its cluster,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy,not reported,not reported,weighted quantile sum regression
64,PMID: 42551848,Critical Windows of Air Pollution Exposure During Spermatogenesis and Intrauterine Insemination Outcomes.,2,0.2124,low,representative article in its cluster,PM2.5; nitrogen dioxide (NO2); ozone (O3); particulate matter,pregnancy,1223 cycles,not reported,linear mixed models
65,PMID: 42570382,Heat-protective behavior in pregnancy: Extending Protection Motivation Theory with environmental and social factors.,6,0.2103,low,representative article in its cluster,heat/temperature,pregnancy,474 women,not reported,not extracted
66,PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,2,0.2067,low,representative article in its cluster,PM2.5; particulate matter,pregnancy,not reported,not reported,linear regression
67,PMID: 42594972,Gestational inhalation of nanoparticles alters placental glucose transporter expression and increases glucose flux in rats.,2,0.2067,low,representative article in its cluster,particulate matter,pregnancy,not reported,not reported,not extracted
68,PMID: 42540534,Exposure to Airborne Particulate Matter in Regional Environments of Bangladesh and Its Effects on Respiratory Health: A Narrative Review.,7,0.1918,low,representative article in its cluster,air pollution; particulate matter,asthma; respiratory,not reported,not reported,not extracted
69,PMID: 42565432,"Time series analysis of environmental factors and their association with emergency visits for asthma exacerbations in Petaling Jaya, Malaysia.",7,0.1918,low,representative article in its cluster,air pollution; particulate matter,asthma; respiratory,not reported,not reported,not extracted
70,PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,13,0.165,low,representative article in its cluster,,,not reported,not reported,not extracted
71,PMID: 42524806,Heat Plus Fire: A Compound Hazard Threatening Cardiovascular Health.,13,0.165,low,representative article in its cluster,,,not reported,not reported,not extracted
