id,exposure_name,exposure_type,health_outcome,population,study_design,effect_direction,effect_estimate,sample_size,population_size,statistical_methods,evidence_sentence,citation,source_title,confidence,review_status,reviewer_notes
assoc-0036,heat/temperature,non-chemical stressor,respiratory,children,retrospective cohort study,unspecified,not extracted,936 children,not reported,logistic regression,"A retrospective cohort study was conducted using pediatric electronic medical records from Wuhu Hospital, Anhui Province, China, covering January 2022 to December 2025.",PMID: 42529083,Environmental and socioeconomic influences on childhood asthma and pneumonia: burden and healthcare utilization in a population-based cohort study,medium,pending,
assoc-0037,nitrogen dioxide (NO2),single pollutant,cardiovascular disease mortality,daily CVD mortality records,time-series epidemiologic study,positive association,not extracted,"87,913 deaths",not reported,generalized additive quasi-Poisson models,"Short-term exposure to ambient air pollution was associated with increased CVD mortality, particularly for PM, PM, and NO2, with consistent effects across single-day and cumulative lag structures.",PMID: 42529026,"Short-term associations between ambient air pollution and cardiovascular disease mortality: an 11-year time-series study in Nanning, China",medium,pending,
assoc-0038,heat/temperature,non-chemical stressor,cardiovascular,older adults,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA Extreme heat poses increasing risks to cardiovascular health, yet fine-scale determinants of heat-related hypertension burden remain insufficiently understood.",PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA",low,pending,
assoc-0039,heat/temperature,non-chemical stressor,hypertension,older adults,not specified,unspecified,not extracted,not reported,not reported,not extracted,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA Extreme heat poses increasing risks to cardiovascular health, yet fine-scale determinants of heat-related hypertension burden remain insufficiently understood.",PMID: 42528898,"Interpretable machine learning for identifying determinants of high hypertension burden under extreme heat vulnerability: evidence from Maryland, USA",low,pending,
assoc-0040,heat/temperature,non-chemical stressor,cardiovascular mortality,daily CVD mortality records,time-series epidemiologic study,positive association,RR: 1.115,not reported,not reported,Poisson regression,"Based on 5.9 million CVD death records, compound exposure was associated with an 11.5% increase in cardiovascular mortality (RR: 1.115; 95% CI: 1.100-1.130), exceeding risks for heat wave-only (RR: 1.083; 95% CI: 1.074-1.091) and SFAP-only exposure (RR: 1.014; 95% CI: 1.008-1.021).",PMID: 42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality,high,pending,
assoc-0041,heat/temperature,non-chemical stressor,cardiovascular,daily CVD mortality records,time-series epidemiologic study,positive association,RR: 1.115,not reported,not reported,Poisson regression,"Based on 5.9 million CVD death records, compound exposure was associated with an 11.5% increase in cardiovascular mortality (RR: 1.115; 95% CI: 1.100-1.130), exceeding risks for heat wave-only (RR: 1.083; 95% CI: 1.074-1.091) and SFAP-only exposure (RR: 1.014; 95% CI: 1.008-1.021).",PMID: 42524808,Compound Exposure to Extreme Heat and Substantial Landscape Fire-Sourced Air Pollution on Cardiovascular Mortality,high,pending,
assoc-0042,heat/temperature,non-chemical stressor,apoptosis-related signaling,in-vitro cultured cell model; exact cell model not extracted,in vitro comparative dose-response / mechanistic toxicology study,experimental cellular effect reported,not extracted,not applicable (in vitro cell study),not applicable (in vitro cell study),in-vitro experimental assays; exact statistical methods not reported in abstract,TITLE: Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction..,PMID: 42521043,Heat stress promotes myocardial injury and ventricular arrhythmia through DRP1-mediated mitochondrial dysfunction,high,pending,
assoc-0043,particulate matter,particle mixture,coronary inflammation / pericoronary fat attenuation index,5528 participants undergoing coronary computed tomography angiography,retrospective cohort study with longitudinal subcohort,unspecified,not extracted,5528 participants; 656 longitudinal subcohort,not reported,linear mixed-effects models; generalized additive models,This large-scale retrospective cohort study investigated the long-term effects of particulate matter exposure on coronary inflammation as assessed by the pericoronary fat attenuation index (FAI).,PMID: 42520874,Long-term particulate matter exposure and coronary inflammation: A large-scale cohort study assessed by pericoronary fat attenuation index,medium,pending,
assoc-0044,particulate matter,particle mixture,liver,pregnant women/infants/children,cohort study,unspecified,not extracted,not reported,not reported,linear regression,"Based on the Fujian Birth Cohort Study (FJBCS), a total of 1046 mother-offspring pairs were analyzed in this study.",PMID: 42520868,Maternal exposure to particulate matter during pregnancy and offspring liver function,medium,pending,
assoc-0045,PFAS,chemical class,immune/inflammation,not specified,cohort study,positive association,not extracted,"1,387 participants",not reported,linear mixed-effects models,"These findings suggest, but do not establish, that PFAS may be linked to inflammation and impaired fibrinolysis in midlife women",PMID: 42520653,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation",medium,pending,
assoc-0046,air pollution,mixture,cardiovascular,children,not specified,unspecified,not extracted,not reported,not reported,not extracted,This paper aims to summarise current knowledge on the effects of air pollution on the cardiovascular system and to discuss underlying pathophysiological mechanisms.,PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data,low,pending,
assoc-0047,air pollution,mixture,mortality,children,not specified,unspecified,not extracted,not reported,not reported,not extracted,State of Knowledge Air pollution is one of the leading environmental risk factors for premature mortality worldwide.,PMID: 42508048,Air pollution and cardiovascular disease: A review of current scientific data,low,pending,
assoc-0048,particulate matter,particle mixture,neurodevelopment,not applicable — review synthesizes evidence across studies/populations,narrative review / research synthesis,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment] Maternal particulate matter exposure is an important environmental risk factor for offspring neurodevelopment.,PMID: 42503941,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment],high,pending,
assoc-0049,particulate matter,particle mixture,pregnancy outcomes,not applicable — review synthesizes evidence across studies/populations,narrative review / research synthesis,review-level evidence describes adverse biological/health effects and proposed mechanisms; not a primary-study effect estimate,not applicable — no pooled quantitative effect estimate reported in abstract,not applicable (review article),not applicable (review article),review synthesis; exact review/statistical methods not reported in abstract,"Epidemiological and toxicological evidence indicates that prenatal particulate matter exposure is associated with adverse pregnancy outcomes and neurodevelopmental abnormalities in offspring, including anxiety-like behavior, impaired memory, and altered social behavior.",PMID: 42503941,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment],high,pending,
assoc-0050,air pollution,mixture,cardiovascular,cohort participants,case-crossover study,positive association,not extracted,not reported,not reported,logistic regression; case-crossover analysis,"On days with elevated PM levels, patients with AF were associated with higher odds of AF-related or cardiovascular hospitalizations and emergency department visits, highlighting the need for targeted prevention strategies to protect vulnerable populations from the adverse effects of air pollution.",PMID: 42500877,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation,medium,pending,
assoc-0051,air pollution,mixture,birth weight,pregnant women/infants,cohort study,positive association,not extracted,499 participants,not reported,not extracted,"In conclusion, prenatal air pollution exposure was associated with differences in placental mtDNAcn but not TL, and neither biomarker was significantly associated with birth weight.",PMID: 42492149,Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort,medium,pending,
assoc-0052,air pollution,mixture,cardiovascular,older adults,time-series epidemiologic study,unspecified,not extracted,not reported,not reported,not extracted,We estimated the short-term risk changes for three criteria air pollutants and corresponding attributable burdens..,PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City,medium,pending,
assoc-0053,air pollution,mixture,asthma,older adults,time-series epidemiologic study,unspecified,not extracted,not reported,not reported,not extracted,We estimated the short-term risk changes for three criteria air pollutants and corresponding attributable burdens..,PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City,medium,pending,
assoc-0054,nitrogen dioxide (NO2),single pollutant,thyroid,pregnant women/infants,not specified,unspecified,not extracted,not reported,not reported,not extracted,"The study relied on 437 pregnant women from the SEPAGES cohort (Grenoble, France, 2014-2017).",PMID: 42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women,medium,pending,
assoc-0055,particulate matter,particle mixture,thyroid,pregnant women/infants,not specified,unspecified,not extracted,not reported,not reported,not extracted,"The study relied on 437 pregnant women from the SEPAGES cohort (Grenoble, France, 2014-2017).",PMID: 42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women,medium,pending,
assoc-0056,particulate matter,particle mixture,cardiovascular,not specified,case-crossover study,unspecified,not extracted,"627,828 cases",not reported,not extracted,"We investigated the association of ACS onset with short-term traffic-related particulate matter exposure in a nationwide time-stratified case-crossover study, using 627,828 ACS cases extracted from the China Cardiovascular Association.",PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related particulate matter exposure on Acute Coronary Syndrome Incidence in China.,medium,pending,
assoc-0057,PFAS,chemical class,birth weight,pregnant women/infants,experimental animal,unspecified,not extracted,not reported,not reported,not extracted,"Placentas were evaluated for morphometric, transcriptomic, and pathway-level effects.",PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency,medium,pending,
assoc-0058,PFAS,chemical class,pregnancy outcomes,pregnant women/infants,experimental animal,unspecified,not extracted,not reported,not reported,not extracted,"Placentas were evaluated for morphometric, transcriptomic, and pathway-level effects.",PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency,medium,pending,
assoc-0059,PFOA,single chemical,birth weight,pregnant women/infants,experimental animal,unspecified,not extracted,not reported,not reported,not extracted,"Placentas were evaluated for morphometric, transcriptomic, and pathway-level effects.",PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency,medium,pending,
assoc-0060,PFOA,single chemical,pregnancy outcomes,pregnant women/infants,experimental animal,unspecified,not extracted,not reported,not reported,not extracted,"Placentas were evaluated for morphometric, transcriptomic, and pathway-level effects.",PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency,medium,pending,
assoc-0061,heat/temperature,non-chemical stressor,cardiovascular,older adults,time-series epidemiologic study,positive association,not extracted,not reported,not reported,not extracted,"Apparent low temperature was significantly associated with increased risk of cardiovascular EACs, with delayed effects.",PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China.",medium,pending,
assoc-0062,particulate matter,particle mixture,cardiovascular mortality,not specified,time-series epidemiologic study,unspecified,not extracted,not reported,not reported,generalized linear models,"We conducted a weekly time-series study in Tianjin, China, to examine the associations of total particulate matter mass across nine size fractions and 23 size-specific components with cardiovascular mortality during 2019-2022.",PMID: 42482688,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China",low,pending,
assoc-0063,particulate matter,particle mixture,cardiovascular,not specified,time-series epidemiologic study,unspecified,not extracted,not reported,not reported,generalized linear models,"We conducted a weekly time-series study in Tianjin, China, to examine the associations of total particulate matter mass across nine size fractions and 23 size-specific components with cardiovascular mortality during 2019-2022.",PMID: 42482688,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China",low,pending,
assoc-0064,heat/temperature,non-chemical stressor,asthma,children,retrospective EHR-based cohort study,unspecified,not extracted,not reported,not reported,logistic regression,"We conducted a case-crossover study to evaluate associations between heatwave intensity and duration and pediatric asthma exacerbations from March to August 2011-2016, in Philadelphia, PA.",PMID: 42474428,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves,medium,pending,
assoc-0065,PM2.5,particle mixture,maternal blood pressure,pregnant women/infants,not specified,unspecified,not extracted,not reported,not reported,linear regression,"We utilized a novel approach to estimate and characterize wildland fire smoke PM in Reno, Nevada, USA, an area prone to seasonal smoke from wildland fires.",PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure.,medium,pending,
