article_id,title,publication_year,max_similarity_to_prior_articles,novelty_score,novelty_label
PMID: 42500877,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation.,2026,0.6797,0.3203,established/near existing cluster
PMID: 42496250,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review.,2026,0.6367,0.3633,established/near existing cluster
PMID: 42492149,Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort.,2026,0.6143,0.3857,established/near existing cluster
PMID: 42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,2026,0.6522,0.3478,established/near existing cluster
PMID: 42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women.,2026,0.7203,0.2797,established/near existing cluster
PMID: 42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,2026,1.0,0.0,established/near existing cluster
PMID: 42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,2026,0.7097,0.2903,established/near existing cluster
PMID: 42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,2026,0.7806,0.2194,established/near existing cluster
PMID: 42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",2026,0.831,0.169,established/near existing cluster
PMID: 42482688,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China.",2026,0.7312,0.2688,established/near existing cluster
PMID: 42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,2026,0.8248,0.1752,established/near existing cluster
PMID: 42474428,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves.,2026,0.6192,0.3808,established/near existing cluster
PMID: 42472615,Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics.,2026,0.6793,0.3207,established/near existing cluster
PMID: 42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,2026,0.8475,0.1525,established/near existing cluster
PMID: 42466507,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study.,2026,0.831,0.169,established/near existing cluster
PMID: 42459959,Mechanistic insights into PM-induced cardiac fibrosis involving ERS/TXNIP/NLRP3-driven pyroptosis in multiple cell types. 2.5,2026,0.6797,0.3203,established/near existing cluster
PMID: 42455550,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023.",2026,0.7399,0.2601,established/near existing cluster
PMID: 42455100,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China. 2.5,2026,0.67,0.33,established/near existing cluster
PMID: 42450330,Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.,2026,0.6663,0.3337,established/near existing cluster
PMID: 42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France.,2026,0.5959,0.4041,somewhat novel
PMID: 42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation.,2026,0.5534,0.4466,somewhat novel
PMID: 42445923,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study.",2026,0.659,0.341,established/near existing cluster
PMID: 42442744,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective.",2026,0.7137,0.2863,established/near existing cluster
PMID: 42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study.,2026,0.8156,0.1844,established/near existing cluster
PMID: 42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011.",2026,0.8312,0.1688,established/near existing cluster
PMID: 42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium.,2026,0.8136,0.1864,established/near existing cluster
PMID: 42422320,"Maternal ambient air pollution exposure and risk of stillbirth in Georgia, USA.",2026,0.765,0.235,established/near existing cluster
PMID: 42420937,Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City.,2026,0.6584,0.3416,established/near existing cluster
PMID: 42420917,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,2026,0.5843,0.4157,somewhat novel
PMID: 42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review.,2026,0.6548,0.3452,established/near existing cluster
PMID: 42416905,Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study.,2026,0.6551,0.3449,established/near existing cluster
PMID: 42414291,Causal effects of wildfire PM on hospital costs and length of stay in Brazil. 2.5,2026,0.6797,0.3203,established/near existing cluster
PMID: 42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older.,2026,0.7944,0.2056,established/near existing cluster
PMID: 42410409,Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial.,2026,0.7854,0.2146,established/near existing cluster
PMID: 42406176,"Associations of short-, mid-, and long-term particulate matter exposure with elevated LDL-C levels in Korean adults: analysis of KNHANES 2016-2022.",2026,0.6446,0.3554,established/near existing cluster
PMID: 42403579,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,2026,0.5629,0.4371,somewhat novel
