id,chemical_name,casrn,dtxsid,chemical_class,market_or_product_use,exposure_potential,known_hazard_flags,toxicity_data_gaps,priority_score,testing_rationale,source_title,confidence,review_status,reviewer_notes
chem-0011,PFOA,not extracted,not extracted,single chemical,"Perfluorooctanoic acid (PFOA), perfluorooctane sulfonic acid (PFOS), perfluorohexanesulfonic acid (PFHxS), and perfluorononanoic acid (PFNA) were detected in >50% of samples and modeled continuously, while perfluorodecanoic acid (PFDeA) and perfluoroundecanoic acid (PFUA) were detected in 25-50% of samples and modeled categorically (above/below detection limit).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,high,pending,
chem-0012,PFHxS,not extracted,not extracted,single chemical,"Perfluorooctanoic acid (PFOA), perfluorooctane sulfonic acid (PFOS), perfluorohexanesulfonic acid (PFHxS), and perfluorononanoic acid (PFNA) were detected in >50% of samples and modeled continuously, while perfluorodecanoic acid (PFDeA) and perfluoroundecanoic acid (PFUA) were detected in 25-50% of samples and modeled categorically (above/below detection limit).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,high,pending,
chem-0013,PFOS,not extracted,not extracted,single chemical,"Perfluorooctanoic acid (PFOA), perfluorooctane sulfonic acid (PFOS), perfluorohexanesulfonic acid (PFHxS), and perfluorononanoic acid (PFNA) were detected in >50% of samples and modeled continuously, while perfluorodecanoic acid (PFDeA) and perfluoroundecanoic acid (PFUA) were detected in 25-50% of samples and modeled categorically (above/below detection limit).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Association of PFAS exposure with maternal blood pressure and hypertension during pregnancy in the PROTECT cohort.,high,pending,
chem-0014,PFOA,not extracted,not extracted,single chemical,"Although epidemiological and experimental studies have linked prenatal exposure to several measured PFAS, primarily legacy perfluoroalkyl acids such as perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), Perfluorohexane Sulfonic Acid (PFHxS), and Perfluorononanoic Acid (PFNA), to diverse offspring outcomes, the strength of evidence differs substantially across compounds and health domains.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,85,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,high,pending,
chem-0015,PFHxS,not extracted,not extracted,single chemical,"Although epidemiological and experimental studies have linked prenatal exposure to several measured PFAS, primarily legacy perfluoroalkyl acids such as perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), Perfluorohexane Sulfonic Acid (PFHxS), and Perfluorononanoic Acid (PFNA), to diverse offspring outcomes, the strength of evidence differs substantially across compounds and health domains.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,85,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,high,pending,
chem-0016,PFOS,not extracted,not extracted,single chemical,"Although epidemiological and experimental studies have linked prenatal exposure to several measured PFAS, primarily legacy perfluoroalkyl acids such as perfluorooctanoic acid (PFOA), perfluorooctanesulfonic acid (PFOS), Perfluorohexane Sulfonic Acid (PFHxS), and Perfluorononanoic Acid (PFNA), to diverse offspring outcomes, the strength of evidence differs substantially across compounds and health domains.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,85,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Prenatal PFAS exposure and offspring health: evidence review and implications for intergenerational risk assessment.,high,pending,
chem-0017,PFAS,not extracted,not extracted,chemical class,"BACKGROUND: Perfluoroalkyl/polyfluoroalkyl substances (PFAS) are emerging clinical and public health concerns, but their role in cardiovascular disease risk remains unclear.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.","Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation.",medium,pending,
chem-0018,PFOA,not extracted,not extracted,single chemical,TITLE: Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency Per- and polyfluoroalkyl substances (PFAS) comprise a group of synthetic chemicals that are ubiquitous global contaminants.,high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,high,pending,
chem-0019,GenX,not extracted,not extracted,replacement PFAS,TITLE: Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency Per- and polyfluoroalkyl substances (PFAS) comprise a group of synthetic chemicals that are ubiquitous global contaminants.,high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,80,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,high,pending,
chem-0020,cadmium,not extracted,not extracted,metal,"Chloride (Cl), potassium (K), chromium (Cr), titanium (Ti), and cadmium (Cd) showed the most prominent associations.",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,55,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.","Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China.",high,pending,
chem-0021,GenX,not extracted,not extracted,replacement PFAS,"TITLE: Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics Congenital heart disease is a leading cause of infant death, arising from genetic and environmental factors.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,95,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics.,high,pending,
chem-0022,PFAS,not extracted,not extracted,chemical class,TITLE: Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review Per- and polyfluoroalkyl substances (PFAS) are persistent environmental contaminants increasingly associated with cardiovascular disease.,medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,70,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.,medium,pending,
chem-0023,F-53B / 6:2 Cl-PFESA,not extracted,not extracted,replacement PFAS,"CONCLUSIONS: Prenatal exposure to both legacy PFASs (PFOS, PFDA, PFNA, PFDoDA, PFUnDA, and PFHpS) and novel PFAS (6:2 Cl-PFESA) was associated with lower FT levels, while PFMOAA was positively associated with TSH levels.",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,95,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,high,pending,
chem-0024,PFOS,not extracted,not extracted,single chemical,"RESULTS: PFOS, PFDA, PFNA, PFUnDA, and PFHpS were negatively associated with FT and positively associated with the FT/FT ratio (all P < 0.05).",high,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,95,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,high,pending,
chem-0025,mercury,not extracted,not extracted,metal,"All births will be classified according to gestational exposure to air pollutants (particulate matter, nitrogen dioxide, sulfur dioxide, ozone) and water pollutants (nitrate-nitrogen, phosphorus, manganese, nickel, zinc, cadmium, mercury, lead, aluminium, iron and copper).",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,45,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,high,pending,
chem-0026,cadmium,not extracted,not extracted,metal,"All births will be classified according to gestational exposure to air pollutants (particulate matter, nitrogen dioxide, sulfur dioxide, ozone) and water pollutants (nitrate-nitrogen, phosphorus, manganese, nickel, zinc, cadmium, mercury, lead, aluminium, iron and copper).",medium,requires review,verify toxicity data gaps and identifiers in CompTox/TSCA before prioritization,45,"Validated chemical/class with exposure, replacement, hazard, or data-gap signal.",Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,high,pending,
