reference_index,batch_number,reference_id,title,status_hint
32,32,42520653,"Perfluoroalkyl/Polyfluoroalkyl Substances, Hemostatic/Inflammatory Biomarkers, and Incident Hypertension: The Study of Women's Health Across the Nation.",see 05_pdf_download.json and package ZIPs
33,33,42512137,Weather Information Seeking and Heat-Health Protective Actions During Pregnancy: An Exploratory Study.,see 05_pdf_download.json and package ZIPs
34,34,42508048,Air pollution and cardiovascular disease: A review of current scientific data.,see 05_pdf_download.json and package ZIPs
35,35,42503941,[Advances on the effects and mechanisms of maternal exposure to particulate matter on offspring neurodevelopment].,see 05_pdf_download.json and package ZIPs
36,36,42500877,Case-Crossover Analysis of Short-Term Particulate Matter and Health Outcomes in Patients With Atrial Fibrillation.,see 05_pdf_download.json and package ZIPs
37,37,42496250,Mechanisms of Heat-Induced Sleep Disruption in Aging: A Narrative Review.,see 05_pdf_download.json and package ZIPs
38,38,42492149,Prenatal air pollution exposure and placental biomarkers of oxidative stress and ageing: results from the BiSC cohort.,see 05_pdf_download.json and package ZIPs
39,39,42488199,Changes in respiratory and cardiovascular morbidity air pollution risk and attributable burden in New York City.,see 05_pdf_download.json and package ZIPs
40,40,42488198,A comprehensive study on the association of personal air pollution exposure with thyroid hormones in pregnant women.,see 05_pdf_download.json and package ZIPs
41,41,42484582,Constituent-Specific PM and Cardiovascular Risk: From Mass to Mixture. 2.5,see 05_pdf_download.json and package ZIPs
42,42,42483592,Quantifying the Health Benefits Linked to Reduced Traffic-Related PM Exposure on Acute Coronary Syndrome Incidence in China. 2.5,see 05_pdf_download.json and package ZIPs
43,43,42483588,Transcriptomic Perturbations in Placental Gene Expression Following Developmental Exposure to Perfluorooctanoic Acid (PFOA) or Hexafluoropropylene Oxide-Dimer Acid (HFPO-DA or GenX) in CD‑1 Mice Are Consistent with Placental Insufficiency.,see 05_pdf_download.json and package ZIPs
44,44,42483065,"Combined effects of apparent low temperature and PM pollution on circulatory emergency ambulance calls: a time-series analysis in Shijiazhuang, China. 2.5",see 05_pdf_download.json and package ZIPs
45,45,42482688,"Size-specific health effects of particulate matter components on cardiovascular mortality: a weekly time-series study in Tianjin, China.",see 05_pdf_download.json and package ZIPs
46,46,42476417,Thermophysiological response of adults to long-distance running in different ACSM environmental risk conditions: A systematic review and meta-analysis.,see 05_pdf_download.json and package ZIPs
47,47,42474428,Individual and neighborhood factors influencing pediatric asthma exacerbations during urban heatwaves.,see 05_pdf_download.json and package ZIPs
48,48,42472615,Targeted inhibition of JAK2 phosphorylation by GenX disrupts the JAK2-STAT3 pathway and induces cardiovascular toxicity in zebrafish: Insights from network toxicology and molecular dynamics.,see 05_pdf_download.json and package ZIPs
49,49,42471626,Associations between wildland fire smoke PM and maternal blood pressure. 2.5,see 05_pdf_download.json and package ZIPs
50,50,42466507,Joint Effects of Heat and Fine Particulate Matter on Out-of-Hospital Cardiac Arrest in Japan: A Nationwide Time-Stratified Case-Crossover Study.,see 05_pdf_download.json and package ZIPs
51,51,42459959,Mechanistic insights into PM-induced cardiac fibrosis involving ERS/TXNIP/NLRP3-driven pyroptosis in multiple cell types. 2.5,see 05_pdf_download.json and package ZIPs
52,52,42455550,"Modifiable Risk Factors and Attributable Ischemic Heart Disease Mortality in US States, 1990-2023: A Systematic Analysis for the Global Burden of Disease Study 2023.",see 05_pdf_download.json and package ZIPs
53,53,42455100,Long-Term Exposure to PM Constituents and Coronary Heart Disease Risk in China. 2.5,see 05_pdf_download.json and package ZIPs
54,54,42450330,Imaging and Molecular Biomarkers of PFAS-Related Vascular Aging: A Narrative Review.,see 05_pdf_download.json and package ZIPs
55,55,42449303,Environmental exposome and its public health impact on COPD and asthma exacerbations in France.,see 05_pdf_download.json and package ZIPs
56,56,42447841,Micro- and nano-plastics in the coronary circulation and air pollution exposure in ischaemic heart disease presentation.,see 05_pdf_download.json and package ZIPs
57,57,42445923,"Ambient temperature, rainfall, and adverse maternal and child health outcomes in Nigeria: evidence from a national cross-sectional study.",see 05_pdf_download.json and package ZIPs
58,58,42442744,"Fine Particulate Matter (PM2.5), the Exposome, and Cumulative Health Risk: A Life-course Perspective.",see 05_pdf_download.json and package ZIPs
59,59,42440588,Maternal exposure to fine particulate matter and autism spectrum disorder in children: population based case-control study.,see 05_pdf_download.json and package ZIPs
60,60,42437198,"Air Pollution Mixture and Folate Status Indicators among Pregnant Women in Canada: Maternal-Infant Research on Environmental Chemicals (MIREC) Study, 2008 to 2011.",see 05_pdf_download.json and package ZIPs
61,61,42428257,Prenatal Air Pollution Exposure and Autism Spectrum Disorder in the ECHO Consortium.,see 05_pdf_download.json and package ZIPs
62,62,42422320,"Maternal ambient air pollution exposure and risk of stillbirth in Georgia, USA.",see 05_pdf_download.json and package ZIPs
63,63,42420937,Assessing the feasibility of indoor air quality monitoring in low-income housing among Black adults with uncontrolled asthma in New York City.,see 05_pdf_download.json and package ZIPs
64,64,42420917,Effects of per- and polyfluoroalkyl substances on maternal thyroid function: a stratified analysis by maternal iodine status and thyroid autoantibody status.,see 05_pdf_download.json and package ZIPs
65,65,42419777,Genetic susceptibility to respiratory health effects from outdoor air pollution: a structured narrative review.,see 05_pdf_download.json and package ZIPs
66,66,42416905,Association between air pollution and incident cardiovascular diseases among a population with cardiovascular-kidney-metabolic syndrome stages 0-3: the first evidence from the China Health and Retirement Longitudinal Study.,see 05_pdf_download.json and package ZIPs
67,67,42414291,Causal effects of wildfire PM on hospital costs and length of stay in Brazil. 2.5,see 05_pdf_download.json and package ZIPs
68,68,42413509,Adaptations to Climate Change-Related Environmental Phenomena to Achieve Physical Activity Recommendations for Adults Aged 65 and Older.,see 05_pdf_download.json and package ZIPs
69,69,42410409,Investigating environmental heat exposure and its effects on maternal and fetal health in rural Northern Ghana (Physio-HeMAB Study): a study protocol for a cluster randomized trial.,see 05_pdf_download.json and package ZIPs
70,70,42406176,"Associations of short-, mid-, and long-term particulate matter exposure with elevated LDL-C levels in Korean adults: analysis of KNHANES 2016-2022.",see 05_pdf_download.json and package ZIPs
71,71,42403579,Exposure to air and water pollution during pregnancy and risk of adverse perinatal outcomes in São Paulo State: protocol for a retrospective population-based cohort study.,see 05_pdf_download.json and package ZIPs
